time,open,high,low,close,tick_volume
1708466400,2023.89,2024.42,2023.63,2024.32,188
1708477200,2023.86,2025.07,2023.84,2024.29,552
1708480800,2024.29,2024.35,2022.97,2023.55,1723
1708484400,2023.58,2026.13,2023.33,2025.4,3970
1708488000,2025.41,2029.21,2025.37,2027.94,3275
1708491600,2027.93,2030.92,2027.81,2030.56,2247
1708495200,2030.56,2031.31,2030.14,2030.88,1822
1708498800,2030.92,2032.27,2029.44,2031.0,2476
1708502400,2031.06,2031.26,2029.24,2030.0,2467
1708506000,2030.0,2030.66,2028.42,2028.88,3586
1708509600,2028.9,2029.27,2026.24,2026.58,5163
1708513200,2026.55,2028.63,2025.98,2028.1,5228
1708516800,2028.12,2030.19,2027.89,2030.0,4068
1708520400,2029.99,2030.08,2027.4,2028.28,4159
1708524000,2028.28,2030.1,2027.99,2029.46,4471
1708527600,2029.46,2031.56,2027.62,2028.75,9708
1708531200,2028.75,2030.34,2027.06,2027.55,10902
1708534800,2027.5,2030.26,2024.11,2024.18,9454
1708538400,2024.17,2025.87,2023.26,2023.98,8967
1708542000,2023.98,2024.58,2021.54,2024.25,6994
1708545600,2024.26,2024.73,2021.52,2022.09,8679
1708549200,2022.03,2026.56,2020.08,2026.05,10031
1708552800,2025.99,2027.04,2024.15,2024.39,5966
1708556400,2024.41,2026.17,2023.99,2025.88,2453
1708563600,2025.73,2026.8,2025.15,2025.7,1686
1708567200,2025.74,2026.77,2025.1,2026.48,2079
1708570800,2026.49,2028.6,2026.22,2027.07,4493
1708574400,2027.03,2028.41,2026.52,2027.78,3018
1708578000,2027.74,2028.33,2026.14,2026.34,1537
1708581600,2026.34,2028.96,2025.55,2028.84,1628
1708585200,2028.93,2030.05,2028.23,2028.44,2366
1708588800,2028.45,2030.61,2028.37,2029.28,2164
1708592400,2029.28,2032.03,2028.87,2031.5,4543
1708596000,2031.5,2034.95,2031.35,2033.29,9069
1708599600,2033.29,2033.29,2028.54,2030.33,6991
1708603200,2030.31,2031.26,2029.2,2029.49,4308
1708606800,2029.51,2029.8,2027.31,2029.01,5118
1708610400,2029.01,2029.9,2027.7,2028.28,6328
1708614000,2028.28,2028.65,2023.09,2025.68,12847
1708617600,2025.69,2026.78,2021.96,2025.0,13827
1708621200,2024.99,2025.38,2020.24,2023.37,15447
1708624800,2023.42,2024.29,2019.79,2021.06,9043
1708628400,2021.36,2024.7,2020.29,2022.98,6656
1708632000,2022.99,2023.29,2019.65,2022.7,7032
1708635600,2022.7,2023.66,2022.2,2023.08,4663
1708639200,2023.11,2024.69,2022.58,2024.63,4774
1708642800,2024.6,2025.09,2023.97,2024.65,1002
1708650000,2024.3,2026.08,2024.13,2024.77,1958
1708653600,2024.77,2026.18,2022.83,2024.54,2315
1708657200,2024.54,2027.21,2024.38,2026.92,3276
1708660800,2026.91,2027.46,2024.3,2024.42,2083
1708664400,2024.39,2026.34,2024.12,2025.74,1942
1708668000,2025.74,2026.54,2025.73,2026.1,912
1708671600,2026.1,2026.21,2022.24,2022.45,2200
1708675200,2022.43,2022.69,2018.2,2020.97,3213
1708678800,2020.97,2022.5,2019.6,2021.85,4181
1708682400,2021.84,2022.67,2018.4,2019.53,5994
1708686000,2019.52,2019.89,2016.07,2016.8,5291
1708689600,2016.8,2023.34,2016.63,2022.93,5447
1708693200,2022.93,2023.99,2022.12,2023.94,5183
1708696800,2023.94,2028.83,2023.11,2028.03,8167
1708700400,2028.06,2029.23,2024.49,2025.39,10916
1708704000,2025.33,2028.67,2024.19,2027.56,12756
1708707600,2027.58,2031.15,2025.71,2030.21,11659
1708711200,2030.22,2038.57,2030.22,2038.41,12532
1708714800,2038.41,2039.82,2036.46,2037.92,8281
1708718400,2037.93,2041.36,2037.49,2040.48,6471
1708722000,2040.43,2040.5,2036.9,2037.35,4414
1708725600,2037.35,2037.55,2035.75,2036.62,4248
1708729200,2036.63,2036.63,2035.17,2035.56,1122
1708909200,2033.25,2035.01,2033.0,2034.05,1613
1708912800,2034.05,2034.06,2030.0,2030.35,3152
1708916400,2030.37,2034.06,2029.95,2031.29,4288
1708920000,2031.27,2031.91,2030.7,2030.93,3066
1708923600,2030.96,2032.59,2030.73,2032.58,1529
1708927200,2032.56,2032.97,2032.12,2032.28,1305
1708930800,2032.24,2034.25,2032.21,2033.06,2397
1708934400,2033.05,2033.94,2031.88,2032.71,2481
1708938000,2032.71,2035.32,2032.38,2035.09,4117
1708941600,2035.08,2037.05,2033.65,2034.06,6581
1708945200,2034.05,2034.44,2032.23,2033.1,5264
1708948800,2033.09,2035.48,2031.71,2032.18,5584
1708952400,2032.17,2033.02,2030.89,2030.93,5930
1708956000,2030.93,2034.14,2030.75,2032.91,5084
1708959600,2032.89,2034.45,2031.66,2032.67,9234
1708963200,2032.68,2032.93,2025.8,2027.6,10739
1708966800,2027.67,2030.16,2025.09,2029.15,10359
1708970400,2029.17,2029.46,2026.59,2027.79,7767
1708974000,2027.81,2028.87,2026.55,2028.72,5515
1708977600,2028.72,2030.12,2028.18,2029.32,6422
1708981200,2029.34,2030.3,2028.58,2029.74,3837
1708984800,2029.75,2033.64,2029.71,2032.34,4588
1708988400,2032.35,2032.35,2030.89,2031.36,897
1708995600,2031.4,2031.66,2030.69,2031.32,1136
1708999200,2031.32,2032.55,2031.09,2031.54,1919
1709002800,2031.59,2033.8,2031.3,2033.64,2469
1709006400,2033.64,2034.57,2032.6,2032.71,1662
1709010000,2032.75,2033.49,2032.33,2033.45,1223
1709013600,2033.46,2034.57,2033.4,2033.76,985
1709017200,2033.72,2034.02,2032.85,2033.66,2011
1709020800,2033.67,2035.02,2033.3,2033.5,1812
1709024400,2033.5,2036.27,2033.29,2035.45,3384
1709028000,2035.45,2039.5,2034.67,2038.11,5836
1709031600,2038.12,2038.16,2035.38,2036.63,4221
1709035200,2036.63,2036.71,2034.66,2036.44,4392
1709038800,2036.5,2038.74,2035.55,2038.26,4806
1709042400,2038.26,2039.11,2037.21,2038.31,5410
1709046000,2038.31,2038.65,2035.3,2035.45,8681
1709049600,2035.45,2036.59,2033.6,2034.92,9745
1709053200,2034.88,2037.19,2032.92,2033.8,11358
1709056800,2033.82,2034.32,2031.82,2033.14,8367
1709060400,2033.14,2033.14,2029.79,2032.29,5973
1709064000,2032.29,2036.12,2031.96,2032.43,7105
1709067600,2032.47,2032.48,2029.45,2030.28,4060
1709071200,2030.23,2030.45,2028.83,2030.17,2331
1709074800,2030.18,2030.62,2029.9,2030.5,685
1709082000,2030.45,2030.88,2029.81,2030.11,968
1709085600,2030.11,2031.28,2029.17,2030.88,1685
1709089200,2030.86,2033.76,2029.79,2033.45,3208
1709092800,2033.45,2033.63,2030.55,2031.05,1948
1709096400,2031.04,2031.86,2029.85,2030.93,1690
1709100000,2030.94,2031.15,2029.84,2030.25,1533
1709103600,2030.25,2031.09,2030.03,2030.97,1371
1709107200,2030.98,2032.13,2028.67,2029.37,2001
1709110800,2029.37,2029.4,2027.86,2028.09,3824
1709114400,2028.08,2029.29,2026.71,2026.85,4928
1709118000,2026.83,2027.4,2024.93,2025.02,5971
1709121600,2025.03,2027.64,2024.52,2027.39,5418
1709125200,2027.31,2027.96,2026.83,2027.31,3774
1709128800,2027.31,2030.48,2026.93,2029.61,4619
1709132400,2029.6,2036.12,2029.1,2035.87,12900
1709136000,2035.87,2037.92,2031.08,2031.83,12113
1709139600,2031.81,2034.1,2030.5,2031.85,8766
1709143200,2031.85,2034.13,2031.79,2033.6,6959
1709146800,2033.6,2035.64,2032.32,2033.83,5659
1709150400,2033.83,2034.88,2031.49,2031.6,4452
1709154000,2031.59,2032.4,2030.86,2032.22,2918
1709157600,2032.23,2034.24,2032.13,2033.81,3048
1709161200,2033.84,2035.34,2033.09,2034.3,1246
1709168400,2034.77,2035.62,2034.66,2034.68,1092
1709172000,2034.68,2035.6,2033.97,2034.19,1356
1709175600,2034.19,2036.54,2034.19,2036.5,3284
1709179200,2036.5,2037.11,2035.46,2036.57,3076
1709182800,2036.59,2036.79,2035.25,2036.59,1681
1709186400,2036.6,2036.6,2035.11,2035.21,1293
1709190000,2035.25,2035.98,2034.44,2035.65,1906
1709193600,2035.66,2037.07,2035.54,2036.89,2113
1709197200,2036.89,2037.85,2035.97,2037.33,4264
1709200800,2037.34,2037.47,2035.57,2037.23,4550
1709204400,2037.36,2037.47,2034.04,2034.64,5448
1709208000,2034.62,2034.86,2030.5,2030.82,5731
1709211600,2030.82,2031.82,2028.85,2030.32,5510
1709215200,2030.32,2030.64,2028.08,2030.25,5321
1709218800,2030.26,2048.68,2030.25,2047.68,16493
1709222400,2047.68,2050.36,2045.94,2047.81,14499
1709226000,2047.86,2050.75,2046.44,2048.17,13142
1709229600,2048.16,2048.4,2043.74,2044.95,10233
1709233200,2044.95,2046.02,2043.33,2045.69,6955
1709236800,2045.69,2046.81,2045.07,2046.32,7326
1709240400,2046.33,2046.91,2044.05,2044.49,5460
1709244000,2044.45,2045.49,2043.8,2044.04,3662
1709247600,2044.11,2044.24,2042.9,2044.07,1348
1709254800,2043.87,2044.33,2043.12,2044.32,1383
1709258400,2044.32,2044.33,2042.89,2043.75,2150
1709262000,2043.76,2044.74,2043.06,2044.37,2859
1709265600,2044.37,2045.85,2044.1,2045.46,1956
1709269200,2045.47,2046.87,2045.36,2046.57,1932
1709272800,2046.55,2046.58,2045.26,2045.53,1098
1709276400,2045.53,2045.72,2043.47,2045.12,2178
1709280000,2045.13,2048.15,2044.93,2046.76,2361
1709283600,2046.76,2048.89,2045.25,2045.43,4428
1709287200,2045.42,2045.68,2039.1,2039.85,7518
1709290800,2039.8,2047.56,2039.47,2046.45,7999
1709294400,2046.35,2055.13,2045.95,2054.89,8958
1709298000,2054.92,2057.51,2053.9,2055.43,7092
1709301600,2055.43,2057.07,2052.22,2052.44,6548
1709305200,2052.47,2054.61,2050.12,2051.67,12025
1709308800,2051.68,2056.65,2045.59,2046.45,13733
1709312400,2046.87,2070.98,2046.87,2069.29,20184
1709316000,2069.28,2081.98,2069.28,2081.16,15027
1709319600,2081.16,2085.7,2079.99,2084.84,12458
1709323200,2084.87,2088.34,2082.28,2085.7,10707
1709326800,2085.72,2086.73,2084.79,2085.25,6568
1709330400,2085.23,2085.36,2083.1,2083.53,5355
1709334000,2083.49,2084.04,2082.91,2083.31,1573
1709514000,2082.77,2086.27,2082.44,2083.57,3322
1709517600,2083.57,2084.42,2082.28,2082.68,3394
1709521200,2082.71,2082.96,2079.46,2080.23,5381
1709524800,2080.2,2083.51,2079.89,2081.56,3589
1709528400,2081.56,2081.99,2080.38,2081.47,2062
1709532000,2081.47,2081.6,2080.31,2080.81,1148
1709535600,2080.8,2082.31,2080.51,2081.56,1709
1709539200,2081.56,2083.91,2081.07,2083.56,3353
1709542800,2083.56,2088.28,2083.56,2087.42,4487
1709546400,2087.42,2087.53,2083.46,2083.91,6776
1709550000,2083.92,2086.17,2083.23,2085.19,6059
1709553600,2085.19,2085.83,2082.67,2083.95,5427
1709557200,2083.95,2084.61,2081.86,2082.14,5212
1709560800,2082.14,2083.46,2081.88,2082.62,4970
1709564400,2082.61,2093.24,2081.19,2091.69,12449
1709568000,2091.73,2101.44,2090.55,2100.76,16678
1709571600,2100.7,2109.38,2097.62,2109.06,14208
1709575200,2109.03,2119.92,2107.77,2119.3,16513
1709578800,2119.3,2119.76,2113.96,2116.5,10084
1709582400,2116.5,2118.1,2113.57,2115.35,6493
1709586000,2115.36,2117.34,2113.33,2116.34,4149
