=== MULTI-YEAR VALIDATION: XAUUSD M15 2004-2025 (492,964 bars) ===
Config: robust-4 + confluence + regime=('trend', 'unknown') + early-BE@0.8 | risk 0.3%

year      bars  trades   WR%    PF    ret%    avgR  maxDD%  breach
2004     11397      94    45  0.68   -3.20  -0.238     4.5      no
2005     20921     136    47  0.83   -2.28  -0.173     3.2      no
2006     21340     271    52  0.94   -1.90  -0.010     4.0      no
2007     22775     206    53  0.95   -0.96  -0.007     3.3      no
2008     23086     310    54  0.95   -1.70  -0.011     3.8      no
2009     23130     206    53  0.91   -1.88  -0.047     4.6      no
2010     21780     174    51  0.77   -3.85  -0.132     4.4      no
2011     22203     194    49  0.78   -4.96  -0.115     6.2      no
2012     22489     151    50  0.89   -1.42  -0.043     2.3      no
2013     23440     218    57  1.13   +2.81  +0.044     3.1      no
2014     23454     126    48  0.89   -1.40  -0.004     2.0      no
2015     23361     165    51  0.81   -2.82  -0.061     4.0      no
2016     23538     163    55  1.20   +2.68  +0.053     2.0      no
2017     23439     101    52  1.06   +0.41  +0.046     1.6      no
2018     23487      85    48  0.75   -2.00  -0.078     2.3      no
2019     23475     139    55  0.99   -0.07  +0.026     3.1      no
2020     23611     201    55  1.04   +0.84  +0.016     3.7      no
2021     23581     150    52  0.88   -1.55  -0.016     3.1      no
2022     23653     148    55  0.92   -1.06  -0.021     4.1      no
2023     23558     146    50  0.80   -2.62  -0.091     4.5      no
2024     23738     157    59  1.26   +3.25  +0.050     2.0      no
2025     21508     182    59  1.19   +3.22  +0.113     2.6      no

OVERALL: 3723 trades across 22 years | WR=53% | avgR=-0.025 | positive years=6/22
