=== MULTI-YEAR VALIDATION: XAUUSD M15 2015-2026 (258,220 bars) ===
Config: robust-4 + confluence + TREND gate + early-BE@0.8 | risk 0.3%

year      bars  trades   WR%    PF    ret%    avgR  maxDD%  breach
2015     23361     165    51  0.81   -2.82  -0.061     4.0      no
2016     23538     163    55  1.20   +2.68  +0.053     2.0      no
2017     23439     101    52  1.06   +0.41  +0.046     1.6      no
2018     23487      85    48  0.75   -2.00  -0.078     2.3      no
2019     23475     139    55  0.99   -0.07  +0.026     3.1      no
2020     23611     201    55  1.04   +0.84  +0.016     3.7      no
2021     23581     150    52  0.88   -1.55  -0.016     3.1      no
2022     23653     148    55  0.92   -1.06  -0.021     4.1      no
2023     23558     146    50  0.80   -2.62  -0.091     4.5      no
2024     23738     157    59  1.26   +3.25  +0.050     2.0      no
2025     21508     182    59  1.19   +3.22  +0.113     2.6      no

OVERALL: 1637 trades across 11 years | WR=54% | avgR=+0.008 | positive years=5/11
