=== MULTI-YEAR VALIDATION: XAUUSD M15 2015-2026 (258,220 bars) ===
Config: robust-4 + confluence + regime=ANY (baseline) + early-BE@0.8 | risk 0.3%

year      bars  trades   WR%    PF    ret%    avgR  maxDD%  breach
2015     23361     196    53  0.86   -2.22  -0.038     3.8      no
2016     23538     197    56  1.28   +4.23  +0.084     1.4      no
2017     23439     108    52  0.98   -0.14  +0.014     1.6      no
2018     23487     109    53  0.91   -0.78  -0.001     2.5      no
2019     23475     164    62  1.44   +4.39  +0.127     2.3      no
2020     23611     247    58  1.08   +1.78  +0.027     2.7      no
2021     23581     179    55  0.90   -1.42  -0.007     3.5      no
2022     23653     192    59  1.04   +0.65  +0.031     4.8      no
2023     23558     171    53  0.88   -1.67  -0.055     3.6      no
2024     23738     183    61  1.29   +3.89  +0.068     1.3      no
2025     21508     217    58  1.19   +3.47  +0.097     2.6      no

OVERALL: 1963 trades across 11 years | WR=57% | avgR=+0.034 | positive years=6/11
