open,close,dir,tag,r,why,hold_h
2015-01-15 02:45,2015-01-15 06:45,buy,trend,0.052,time,4.00
2015-01-15 03:45,2015-01-15 07:45,buy,trend,0.070,time,4.00
2015-01-15 04:45,2015-01-15 08:45,buy,trend,-0.344,time,4.00
2015-01-15 05:45,2015-01-15 09:45,buy,trend,-0.314,time,4.00
2015-01-15 06:45,2015-01-15 10:45,buy,trend,-0.360,time,4.00
2015-01-15 08:45,2015-01-15 11:30,buy,trend,1.000,tp,2.75
2015-01-15 09:45,2015-01-15 11:30,buy,trend,1.000,tp,1.75
2015-01-15 07:45,2015-01-15 11:45,buy,trend,1.000,tp,4.00
2015-01-15 11:45,2015-01-15 12:00,buy,trend,-1.000,sl,0.25
2015-01-15 12:45,2015-01-15 13:30,buy,trend,1.000,tp,0.75
2015-01-15 13:45,2015-01-15 14:30,buy,trend,-1.000,sl,0.75
2015-01-15 14:45,2015-01-15 18:00,buy,trend,1.000,tp,3.25
2015-01-15 15:45,2015-01-15 18:00,buy,trend,1.000,tp,2.25
2015-01-15 16:45,2015-01-15 18:15,buy,trend,1.000,tp,1.50
2015-01-15 17:45,2015-01-15 21:45,buy,trend,-0.120,time,4.00
2015-01-15 18:45,2015-01-15 22:45,buy,trend,-0.278,time,4.00
2015-01-15 19:45,2015-01-15 23:45,buy,trend,0.002,time,4.00
2015-01-15 20:45,2015-01-16 01:45,buy,trend,0.109,time,4.00
2015-01-15 21:45,2015-01-16 02:45,buy,trend,0.146,time,4.00
2015-01-15 22:45,2015-01-16 03:45,buy,trend,0.171,time,4.00
2015-01-15 23:45,2015-01-16 04:45,buy,trend,-0.121,time,4.00
2015-01-16 01:45,2015-01-16 05:45,buy,trend,-0.220,time,4.00
2015-01-16 02:45,2015-01-16 06:45,buy,trend,-0.131,time,4.00
2015-01-16 03:45,2015-01-16 07:45,buy,trend,-0.434,time,4.00
2015-01-16 04:45,2015-01-16 08:45,buy,trend,-0.061,time,4.00
2015-01-16 05:45,2015-01-16 09:45,buy,trend,-0.353,time,4.00
2015-01-16 08:45,2015-01-16 10:30,buy,trend,-1.000,sl,1.75
2015-01-16 06:45,2015-01-16 10:45,buy,trend,-0.172,time,4.00
2015-01-16 07:45,2015-01-16 11:45,buy,trend,0.187,time,4.00
2015-01-16 09:45,2015-01-16 13:45,buy,trend,0.332,time,4.00
2015-01-16 10:45,2015-01-16 14:45,buy,trend,0.472,time,4.00
2015-01-16 11:45,2015-01-16 15:00,buy,trend,1.000,tp,3.25
2015-01-16 12:45,2015-01-16 15:00,buy,trend,1.000,tp,2.25
2015-01-16 13:45,2015-01-16 15:15,buy,trend,1.000,tp,1.50
2015-01-16 14:45,2015-01-16 15:15,buy,trend,1.000,tp,0.50
2015-01-16 15:45,2015-01-16 16:45,buy,trend,1.000,tp,1.00
2015-01-16 16:45,2015-01-16 18:30,buy,trend,1.000,tp,1.75
2015-01-16 17:45,2015-01-16 18:30,buy,trend,1.000,tp,0.75
2015-01-16 18:45,2015-01-16 22:45,buy,trend,-0.418,time,4.00
2015-01-16 19:45,2015-01-16 23:45,buy,trend,0.452,time,4.00
2015-01-16 20:45,2015-01-19 03:00,buy,trend,0.171,time,4.00
2015-01-16 21:45,2015-01-19 04:00,buy,trend,0.045,time,4.00
2015-01-16 22:45,2015-01-19 05:00,buy,trend,0.156,time,4.00
2015-01-16 23:45,2015-01-19 06:00,buy,trend,-0.561,time,4.00
2015-01-19 03:45,2015-01-19 07:45,buy,trend,0.175,time,4.00
2015-01-19 04:45,2015-01-19 08:45,buy,trend,-0.112,time,4.00
2015-01-19 05:45,2015-01-19 09:45,buy,trend,-0.236,time,4.00
2015-01-19 06:45,2015-01-19 10:45,buy,trend,-0.056,time,4.00
2015-01-19 07:45,2015-01-19 11:45,buy,trend,-0.173,time,4.00
2015-01-19 08:45,2015-01-19 12:45,buy,trend,-0.077,time,4.00
2015-01-19 09:45,2015-01-19 13:45,buy,trend,0.497,time,4.00
2015-01-19 10:45,2015-01-19 14:45,buy,trend,0.442,time,4.00
2015-01-19 11:45,2015-01-19 15:45,buy,trend,-0.016,time,4.00
2015-01-19 12:45,2015-01-19 16:45,buy,trend,-0.327,time,4.00
2015-01-19 13:45,2015-01-19 17:00,buy,trend,-1.000,sl,3.25
2015-01-19 14:45,2015-01-19 17:00,buy,trend,-1.000,sl,2.25
2015-01-19 15:45,2015-01-19 17:00,buy,trend,-1.000,sl,1.25
2015-01-19 16:45,2015-01-19 17:45,buy,trend,-1.000,sl,1.00
2015-01-19 17:45,2015-01-19 18:15,buy,trend,1.000,tp,0.50
2015-01-19 18:45,2015-01-21 01:00,buy,trend,1.000,tp,1.25
2015-01-19 19:45,2015-01-21 01:00,buy,trend,1.000,tp,0.25
2015-01-21 01:45,2015-01-21 05:30,buy,trend,1.000,tp,3.75
2015-01-21 02:45,2015-01-21 06:45,buy,trend,0.896,time,4.00
2015-01-21 03:45,2015-01-21 07:15,buy,trend,1.000,tp,3.50
2015-01-21 04:45,2015-01-21 07:30,buy,trend,1.000,tp,2.75
2015-01-21 05:45,2015-01-21 07:30,buy,trend,1.000,tp,1.75
2015-01-21 06:45,2015-01-21 10:45,buy,trend,0.317,time,4.00
2015-01-21 07:45,2015-01-21 11:45,buy,trend,-0.092,time,4.00
2015-01-21 08:45,2015-01-21 12:45,buy,trend,-0.414,time,4.00
2015-01-21 09:45,2015-01-21 13:45,buy,trend,-0.150,time,4.00
2015-01-21 10:45,2015-01-21 14:45,buy,trend,0.142,time,4.00
2015-01-21 12:45,2015-01-21 15:00,buy,trend,1.000,tp,2.25
2015-01-21 13:45,2015-01-21 15:00,buy,trend,1.000,tp,1.25
2015-01-21 11:45,2015-01-21 15:45,buy,trend,0.221,time,4.00
2015-01-21 14:45,2015-01-21 16:45,buy,trend,-1.000,sl,2.00
2015-01-21 15:45,2015-01-21 16:45,buy,trend,-1.000,sl,1.00
2015-01-21 16:45,2015-01-21 17:15,buy,trend,-1.000,sl,0.50
2015-01-21 17:45,2015-01-21 21:45,buy,trend,0.313,time,4.00
2015-01-21 18:45,2015-01-21 22:45,buy,trend,0.105,time,4.00
2015-01-21 19:45,2015-01-21 23:45,buy,trend,0.109,time,4.00
2015-01-21 20:45,2015-01-22 01:45,buy,trend,-0.152,time,4.00
2015-01-21 21:45,2015-01-22 02:45,buy,trend,-0.198,time,4.00
2015-01-21 22:45,2015-01-22 03:45,buy,trend,-0.201,time,4.00
2015-01-21 23:45,2015-01-22 04:45,buy,trend,-0.163,time,4.00
2015-01-22 01:45,2015-01-22 05:45,buy,trend,0.079,time,4.00
2015-01-22 02:45,2015-01-22 06:45,buy,trend,0.266,time,4.00
2015-01-22 03:45,2015-01-22 07:45,buy,trend,-0.093,time,4.00
2015-01-22 05:45,2015-01-22 08:15,buy,trend,-1.000,sl,2.50
2015-01-22 06:45,2015-01-22 08:15,buy,trend,-1.000,sl,1.50
2015-01-22 07:45,2015-01-22 08:15,buy,trend,-1.000,sl,0.50
2015-01-22 04:45,2015-01-22 08:30,buy,trend,-1.000,sl,3.75
2015-01-22 08:45,2015-01-22 12:45,buy,trend,-0.161,time,4.00
2015-01-22 09:45,2015-01-22 13:45,buy,trend,0.169,time,4.00
2015-01-22 10:45,2015-01-22 14:15,buy,trend,-1.000,sl,3.50
2015-01-22 11:45,2015-01-22 14:15,buy,trend,-1.000,sl,2.50
2015-01-22 12:45,2015-01-22 14:15,buy,trend,-1.000,sl,1.50
2015-01-22 13:45,2015-01-22 14:15,buy,trend,-1.000,sl,0.50
2015-01-22 14:45,2015-01-22 15:30,buy,trend,1.000,tp,0.75
2015-01-22 15:45,2015-01-22 16:15,buy,trend,1.000,tp,0.50
2015-01-22 16:45,2015-01-22 17:30,buy,trend,1.000,tp,0.75
2015-01-22 17:45,2015-01-22 18:15,buy,trend,1.000,tp,0.50
2015-01-22 18:45,2015-01-22 22:45,buy,trend,0.075,time,4.00
2015-01-22 19:45,2015-01-22 23:45,buy,trend,0.038,time,4.00
2015-01-22 20:45,2015-01-23 01:45,buy,trend,-0.107,time,4.00
2015-01-22 21:45,2015-01-23 02:45,buy,trend,-0.380,time,4.00
2015-01-22 22:45,2015-01-23 03:45,buy,trend,-0.394,time,4.00
2015-01-22 23:45,2015-01-23 04:45,buy,trend,-0.231,time,4.00
2015-01-23 01:45,2015-01-23 05:45,buy,trend,-0.404,time,4.00
2015-01-23 02:45,2015-01-23 06:45,buy,trend,-0.431,time,4.00
2015-01-23 03:45,2015-01-23 07:45,buy,trend,-0.681,time,4.00
2015-01-23 04:45,2015-01-23 08:45,buy,trend,-0.418,time,4.00
2015-01-23 05:45,2015-01-23 09:45,buy,trend,-0.558,time,4.00
2015-01-23 06:45,2015-01-23 10:45,buy,trend,-0.424,time,4.00
2015-01-23 07:45,2015-01-23 11:45,buy,trend,-0.092,time,4.00
2015-01-23 08:45,2015-01-23 12:45,buy,trend,-0.454,time,4.00
2015-01-23 09:45,2015-01-23 13:45,buy,trend,0.382,time,4.00
2015-01-23 10:45,2015-01-23 14:15,buy,trend,1.000,tp,3.50
2015-01-23 11:45,2015-01-23 14:15,buy,trend,1.000,tp,2.50
2015-01-23 12:45,2015-01-23 14:15,buy,trend,1.000,tp,1.50
2015-01-23 13:45,2015-01-23 17:00,buy,trend,-1.000,sl,3.25
2015-01-23 14:45,2015-01-23 17:00,buy,trend,-1.000,sl,2.25
2015-01-23 15:45,2015-01-23 17:00,buy,trend,-1.000,sl,1.25
2015-01-23 16:45,2015-01-23 17:00,buy,trend,-1.000,sl,0.25
2015-01-23 17:45,2015-01-23 21:45,buy,trend,0.035,time,4.00
2015-01-23 18:45,2015-01-23 22:45,buy,trend,0.464,time,4.00
2015-01-23 19:45,2015-01-23 23:45,buy,trend,0.666,time,4.00
2015-01-23 20:45,2015-01-26 01:45,buy,trend,0.553,time,4.00
2015-01-23 21:45,2015-01-26 01:45,buy,trend,1.000,tp,3.00
2015-01-23 22:45,2015-01-26 03:45,buy,trend,0.355,time,4.00
2015-01-23 23:45,2015-01-26 04:45,buy,trend,0.285,time,4.00
2015-01-26 01:45,2015-01-26 05:45,buy,trend,-0.394,time,4.00
2015-01-26 02:45,2015-01-26 06:45,buy,trend,-0.454,time,4.00
2015-01-26 03:45,2015-01-26 07:45,buy,trend,-0.608,time,4.00
2015-01-26 04:45,2015-01-26 08:45,buy,trend,-0.471,time,4.00
2015-01-26 05:45,2015-01-26 09:45,buy,trend,-1.000,sl,4.00
2015-01-26 06:45,2015-01-26 09:45,buy,trend,-1.000,sl,3.00
2015-01-26 08:45,2015-01-26 09:45,buy,trend,-1.000,sl,1.00
2015-01-26 07:45,2015-01-26 10:15,buy,trend,-1.000,sl,2.50
2015-01-26 09:45,2015-01-26 10:45,buy,trend,-1.000,sl,1.00
2015-01-27 21:45,2015-01-28 02:45,buy,trend,-0.311,time,4.00
2015-01-27 22:45,2015-01-28 03:45,buy,trend,-0.764,time,4.00
2015-01-27 23:45,2015-01-28 04:45,buy,trend,-0.300,time,4.00
2015-01-28 01:45,2015-01-28 05:45,buy,trend,-0.677,time,4.00
2015-01-28 02:45,2015-01-28 06:45,buy,trend,-0.409,time,4.00
2015-01-28 03:45,2015-01-28 07:45,buy,trend,0.211,time,4.00
2015-01-28 04:45,2015-01-28 08:45,buy,trend,-0.301,time,4.00
2015-01-28 07:45,2015-01-28 09:30,buy,trend,-1.000,sl,1.75
2015-01-28 05:45,2015-01-28 09:45,buy,trend,-0.280,time,4.00
2015-01-28 06:45,2015-01-28 10:45,buy,trend,-0.356,time,4.00
2015-01-28 08:45,2015-01-28 12:45,buy,trend,-0.195,time,4.00
