date,trades,pl_pct,state
2022-01-05,3,-1.114,stop
2022-01-06,6,1.385,target
2022-01-07,4,-1.040,stop
2022-01-10,3,0.605,
2022-01-11,6,1.097,target
2022-01-12,2,1.020,target
2022-01-13,4,-1.000,stop
2022-01-14,5,-1.001,stop
2022-01-17,4,-0.976,
2022-01-18,3,-1.234,stop
2022-01-19,3,-1.493,stop
2022-01-20,3,-1.105,stop
2022-01-21,5,-1.033,stop
2022-01-24,5,-0.957,
2022-01-25,3,-1.493,stop
2022-01-26,5,0.949,
2022-01-27,6,1.435,target
2022-01-28,2,1.099,target
2022-01-31,3,-1.372,stop
2022-02-01,4,1.109,target
2022-02-02,3,-0.541,
2022-02-03,3,-1.493,stop
2022-02-04,4,-1.051,stop
2022-02-07,4,1.106,target
2022-02-08,3,-1.191,stop
2022-02-09,4,-0.590,
2022-02-10,3,-1.110,stop
2022-02-11,3,-1.221,stop
2022-02-14,4,0.295,
2022-02-15,4,0.479,
2022-02-16,3,-1.178,stop
2022-02-17,5,-0.213,
2022-02-18,4,-0.610,
2022-02-21,4,1.253,target
2022-02-22,3,-1.293,stop
2022-02-23,5,-1.196,stop
2022-02-24,2,1.215,target
2022-02-25,6,0.062,
2022-02-28,3,-1.486,stop
2022-03-01,3,-1.049,stop
2022-03-02,3,-0.363,
2022-03-03,3,-1.493,stop
2022-03-04,4,1.031,target
2022-03-07,5,0.729,
2022-03-08,2,1.288,target
2022-03-09,4,1.597,target
2022-03-10,5,-1.003,stop
2022-03-11,4,1.464,target
2022-03-14,3,-1.313,stop
2022-03-15,7,-1.057,stop
2022-03-16,2,1.316,target
2022-03-17,6,-0.753,
2022-03-18,4,1.300,target
2022-03-21,4,-0.640,
2022-03-22,3,-1.001,stop
2022-03-23,9,1.014,target
2022-03-24,3,-1.240,stop
2022-03-25,5,-1.020,stop
2022-03-28,2,1.062,target
2022-03-29,2,1.234,target
2022-03-30,7,-0.107,
2022-03-31,7,-0.082,
2022-04-01,3,-1.493,stop
2022-04-04,2,1.162,target
2022-04-05,3,-1.493,stop
2022-04-06,5,-1.412,stop
2022-04-07,4,-0.888,
2022-04-08,3,-1.493,stop
2022-04-11,6,-0.732,
2022-04-12,6,-0.744,
2022-04-13,5,-0.269,
2022-04-14,3,-1.220,stop
2022-04-18,7,-0.207,
2022-04-19,7,-0.158,
2022-04-20,3,-1.179,stop
2022-04-21,5,-1.057,stop
2022-04-22,2,1.265,target
2022-04-25,2,1.240,target
2022-04-26,3,-1.493,stop
2022-04-27,5,0.378,
2022-04-28,3,-1.466,stop
2022-04-29,2,1.184,target
2022-05-02,2,1.250,target
2022-05-03,5,-1.400,stop
2022-05-04,3,-1.080,stop
2022-05-05,2,1.325,target
2022-05-06,5,-1.410,stop
2022-05-09,7,0.624,
2022-05-10,3,0.299,
2022-05-11,3,-1.155,stop
2022-05-12,5,-1.161,stop
2022-05-13,6,-0.742,
2022-05-16,5,0.369,
2022-05-17,2,1.166,target
2022-05-18,5,-0.303,
2022-05-19,4,1.183,target
2022-05-20,5,-1.296,stop
2022-05-23,3,0.767,
2022-05-24,4,1.206,target
2022-05-25,5,-1.255,stop
2022-05-26,2,1.168,target
2022-05-27,3,-0.405,
2022-05-30,2,1.109,target
2022-05-31,6,1.214,target
2022-06-01,5,-1.050,stop
2022-06-02,4,1.203,target
2022-06-03,6,-0.802,
2022-06-06,3,0.303,
2022-06-07,4,-1.014,stop
2022-06-08,3,-1.493,stop
2022-06-09,3,-1.264,stop
2022-06-10,3,-1.267,stop
2022-06-13,3,-1.232,stop
2022-06-14,6,0.420,
2022-06-15,7,-1.264,stop
2022-06-16,4,0.935,
2022-06-17,4,-0.886,
2022-06-20,2,-0.997,
2022-06-21,3,0.676,
2022-06-22,3,-1.067,stop
2022-06-23,3,-1.228,stop
2022-06-24,3,-1.445,stop
2022-06-27,4,1.280,target
2022-06-28,2,0.086,
2022-06-29,4,-0.967,
2022-06-30,4,0.161,
2022-07-01,7,-1.059,stop
2022-07-04,3,-1.144,stop
2022-07-05,3,-1.126,stop
2022-07-06,6,1.266,target
2022-07-07,3,-1.275,stop
2022-07-08,4,-0.903,
2022-07-11,5,0.733,
2022-07-12,5,-1.070,stop
2022-07-13,2,1.053,target
2022-07-14,3,-1.122,stop
2022-07-15,3,-0.382,
2022-07-18,2,1.109,target
2022-07-19,3,-1.150,stop
2022-07-20,7,-0.238,
2022-07-21,3,-1.493,stop
2022-07-22,6,-0.323,
2022-07-25,7,-0.183,
2022-07-26,3,0.668,
2022-07-27,4,-0.945,
2022-07-28,5,-1.430,stop
2022-07-29,4,1.016,target
2022-08-01,3,-1.108,stop
2022-08-02,7,-0.219,
2022-08-03,3,-1.169,stop
2022-08-04,3,-1.493,stop
2022-08-05,6,-0.824,
2022-08-08,3,-1.131,stop
2022-08-09,4,-1.012,stop
2022-08-10,4,-1.004,stop
2022-08-11,5,-0.404,
2022-08-12,3,-1.493,stop
2022-08-15,4,1.183,target
2022-08-16,4,0.033,
2022-08-17,6,-0.201,
2022-08-18,3,-1.493,stop
2022-08-19,3,-1.145,stop
2022-08-22,2,1.112,target
2022-08-23,4,0.255,
2022-08-24,5,-1.018,stop
2022-08-25,3,-1.402,stop
2022-08-26,3,1.125,target
2022-08-29,5,-0.240,
2022-08-30,6,0.184,
2022-08-31,7,0.252,
2022-09-01,5,-1.398,stop
2022-09-02,4,0.059,
2022-09-05,3,-1.173,stop
2022-09-06,6,-1.014,stop
2022-09-07,3,-1.493,stop
2022-09-08,3,-1.099,stop
2022-09-09,4,0.142,
2022-09-12,4,0.155,
2022-09-13,7,0.431,
2022-09-14,3,-1.493,stop
2022-09-15,4,1.117,target
2022-09-16,3,-1.155,stop
2022-09-19,3,-1.115,stop
2022-09-20,4,0.238,
2022-09-21,3,-1.155,stop
2022-09-22,2,1.210,target
2022-09-23,3,-1.269,stop
2022-09-26,7,-0.061,
2022-09-27,4,-0.417,
2022-09-28,5,-1.072,stop
2022-09-29,3,-1.363,stop
2022-09-30,5,0.825,
2022-10-03,3,-1.257,stop
2022-10-04,5,-1.374,stop
2022-10-05,4,0.275,
2022-10-06,5,-1.309,stop
2022-10-07,3,-1.071,stop
2022-10-10,2,1.198,target
