date,trades,pl_pct,state
2015-01-06,2,-0.997,
2015-01-07,3,-1.223,stop
2015-01-08,2,1.064,target
2015-01-09,4,-1.040,stop
2015-01-12,4,0.178,
2015-01-13,2,1.140,target
2015-01-14,3,-1.314,stop
2015-01-15,6,1.198,target
2015-01-16,6,-0.140,
2015-01-19,2,-0.998,
2015-01-21,4,0.134,
2015-01-22,2,1.078,target
2015-01-23,2,1.145,target
2015-01-26,5,-0.324,
2015-01-27,6,-0.854,
2015-01-28,3,-1.493,stop
2015-01-29,6,1.201,target
2015-01-30,4,0.835,
2015-02-02,3,-1.062,stop
2015-02-03,3,-1.493,stop
2015-02-04,4,-0.942,
2015-02-05,5,-0.973,
2015-02-06,6,0.627,
2015-02-09,3,-1.493,stop
2015-02-10,5,-0.100,
2015-02-11,5,0.811,
2015-02-12,3,-1.262,stop
2015-02-13,3,1.447,target
2015-02-16,4,-0.045,
2015-02-17,4,1.021,target
2015-02-18,5,-1.450,stop
2015-02-19,5,-1.384,stop
2015-02-20,4,0.089,
2015-02-23,3,0.727,
2015-02-24,3,-1.174,stop
2015-02-25,7,-0.546,
2015-02-26,6,-1.078,stop
2015-02-27,3,-1.493,stop
2015-03-02,2,1.072,target
2015-03-03,4,-0.958,
2015-03-04,4,-1.028,stop
2015-03-05,4,-0.887,
2015-03-06,6,1.059,target
2015-03-09,4,0.290,
2015-03-10,3,-1.284,stop
2015-03-11,5,-0.332,
2015-03-12,4,0.012,
2015-03-13,4,-0.953,
2015-03-16,5,-0.327,
2015-03-17,5,1.539,target
2015-03-18,4,-1.039,stop
2015-03-19,3,-1.026,stop
2015-03-20,3,-1.087,stop
2015-03-23,3,-1.493,stop
2015-03-24,3,1.111,target
2015-03-25,2,0.036,
2015-03-26,3,1.194,target
2015-03-27,6,0.690,
2015-03-30,4,1.069,target
2015-03-31,6,-0.927,
2015-04-01,3,-1.493,stop
2015-04-02,3,-1.287,stop
2015-04-03,1,0.437,
2015-04-06,6,-0.985,
2015-04-07,3,1.044,target
2015-04-08,5,-1.103,stop
2015-04-09,4,1.018,target
2015-04-10,4,0.186,
2015-04-13,3,-1.493,stop
2015-04-14,3,1.457,target
2015-04-15,3,-1.493,stop
2015-04-16,3,1.137,target
2015-04-17,4,-0.459,
2015-04-20,5,-0.453,
2015-04-21,3,1.336,target
2015-04-22,5,0.106,
2015-04-23,4,-1.010,stop
2015-04-24,3,-0.373,
2015-04-27,3,1.060,target
2015-04-28,3,-1.352,stop
2015-04-29,4,-1.003,stop
2015-04-30,3,-1.493,stop
2015-05-01,5,0.550,
2015-05-04,3,1.586,target
2015-05-05,3,1.562,target
2015-05-06,5,-0.341,
2015-05-07,4,-0.084,
2015-05-08,4,-0.719,
2015-05-11,3,-1.493,stop
2015-05-12,5,-0.385,
2015-05-13,3,-1.290,stop
2015-05-14,3,1.519,target
2015-05-15,3,0.360,
2015-05-18,3,0.492,
2015-05-19,6,-0.205,
2015-05-20,3,-1.493,stop
2015-05-21,4,-1.113,stop
2015-05-22,4,-1.019,stop
2015-05-25,3,-1.067,stop
2015-05-26,6,0.053,
2015-05-27,2,-0.998,
2015-05-28,5,0.346,
2015-05-29,3,-1.493,stop
2015-06-01,4,-1.077,stop
2015-06-02,3,-1.277,stop
2015-06-03,4,0.095,
2015-06-04,3,0.477,
2015-06-05,3,-1.057,stop
2015-06-08,3,-1.493,stop
2015-06-09,5,-0.111,
2015-06-10,4,1.121,target
2015-06-11,4,-0.244,
2015-06-12,3,-0.684,
2015-06-15,5,1.521,target
2015-06-16,3,-0.440,
2015-06-17,6,-1.194,stop
