open,close,dir,entry,sl,tp,exit,r,reason,hold_min
2022-01-05 05:30,2022-01-05 06:00,buy,1816.59,1815.24,1817.99,1815.24,-1.000,sl,45
2022-01-05 08:30,2022-01-05 08:30,buy,1817.13,1815.95,1818.27,1815.95,-1.000,sl,15
2022-01-05 11:30,2022-01-05 11:30,buy,1818.59,1816.72,1820.78,1818.15,-0.235,lock_stop,15
2022-01-06 02:30,2022-01-06 02:45,sell,1807.70,1809.41,1805.77,1809.41,-1.000,sl,30
2022-01-06 05:30,2022-01-06 06:00,sell,1807.83,1809.51,1805.94,1805.94,1.127,tp,45
2022-01-06 07:00,2022-01-06 07:15,sell,1805.17,1806.59,1803.67,1806.59,-1.000,sl,30
2022-01-06 07:45,2022-01-06 08:15,sell,1804.00,1805.56,1802.29,1802.29,1.099,tp,45
2022-01-06 10:30,2022-01-06 11:30,sell,1797.47,1799.96,1794.36,1794.36,1.249,tp,75
2022-01-06 14:45,2022-01-06 14:45,sell,1795.95,1798.99,1792.01,1792.01,1.295,tp,15
2022-01-07 03:15,2022-01-07 03:15,sell,1789.91,1791.19,1788.62,1791.19,-1.000,sl,15
2022-01-07 07:45,2022-01-07 08:00,sell,1791.33,1792.40,1790.34,1790.34,0.918,tp,30
2022-01-07 08:30,2022-01-07 08:45,sell,1789.29,1790.41,1788.24,1790.41,-1.000,sl,30
2022-01-07 10:15,2022-01-07 10:15,sell,1787.59,1789.16,1785.86,1789.16,-1.000,sl,15
2022-01-10 11:00,2022-01-10 12:00,buy,1796.66,1794.75,1798.91,1798.91,1.174,tp,75
2022-01-10 13:30,2022-01-10 14:00,buy,1801.24,1799.20,1803.68,1799.20,-1.000,sl,45
2022-01-10 19:45,2022-01-10 23:30,buy,1799.21,1796.80,1802.20,1801.72,1.041,time,240
2022-01-11 02:15,2022-01-11 03:00,buy,1803.83,1802.42,1805.33,1802.42,-1.000,sl,60
2022-01-11 03:30,2022-01-11 05:15,buy,1805.78,1804.19,1807.53,1807.53,1.106,tp,120
2022-01-11 08:00,2022-01-11 08:30,buy,1808.70,1807.36,1810.08,1807.36,-1.000,sl,45
2022-01-11 18:00,2022-01-11 18:30,buy,1811.94,1808.63,1816.28,1816.28,1.311,tp,45
2022-01-11 19:45,2022-01-11 22:00,buy,1817.04,1813.85,1821.20,1821.20,1.304,tp,150
2022-01-11 22:45,2022-01-11 22:45,buy,1822.21,1820.62,1823.97,1822.97,0.477,lock_target,15
2022-01-12 07:30,2022-01-12 07:30,buy,1819.82,1818.68,1820.90,1820.90,0.950,tp,15
2022-01-12 14:45,2022-01-12 15:15,buy,1818.92,1817.42,1820.55,1820.55,1.084,tp,45
2022-01-13 03:45,2022-01-13 03:45,buy,1826.78,1825.64,1827.87,1825.64,-1.000,sl,15
2022-01-13 06:15,2022-01-13 07:15,buy,1826.15,1824.90,1827.40,1827.40,0.999,tp,75
2022-01-13 07:45,2022-01-13 07:45,buy,1827.97,1826.81,1829.08,1826.81,-1.000,sl,15
2022-01-13 11:15,2022-01-13 11:30,sell,1819.49,1821.71,1816.79,1821.71,-1.000,sl,30
2022-01-14 02:15,2022-01-14 02:15,sell,1819.97,1821.22,1818.72,1821.22,-1.000,sl,15
2022-01-14 04:30,2022-01-14 07:30,buy,1825.50,1823.75,1827.50,1827.50,1.142,tp,195
2022-01-14 08:00,2022-01-14 08:00,buy,1827.99,1826.68,1829.32,1826.68,-1.000,sl,15
2022-01-14 13:30,2022-01-14 13:45,sell,1820.13,1822.22,1817.62,1822.22,-1.000,sl,30
2022-01-14 18:30,2022-01-14 18:30,sell,1818.24,1821.70,1813.67,1818.74,-0.144,lock_stop,15
2022-01-17 02:15,2022-01-17 02:15,sell,1815.42,1816.71,1814.11,1816.71,-1.000,sl,15
2022-01-17 03:15,2022-01-17 03:30,sell,1813.97,1815.31,1812.58,1815.31,-1.000,sl,30
2022-01-17 09:30,2022-01-17 10:30,buy,1821.49,1820.11,1822.94,1822.94,1.048,tp,75
2022-01-17 21:00,2022-01-17 21:15,sell,1817.95,1818.88,1817.18,1818.88,-1.000,sl,30
2022-01-18 04:00,2022-01-18 04:45,buy,1822.37,1821.25,1823.42,1821.25,-1.000,sl,60
2022-01-18 09:15,2022-01-18 09:30,sell,1814.04,1815.89,1811.88,1815.89,-1.000,sl,30
2022-01-18 11:00,2022-01-18 11:00,sell,1811.79,1814.22,1808.77,1812.95,-0.477,lock_stop,15
2022-01-19 02:15,2022-01-19 02:30,sell,1812.54,1813.91,1811.10,1813.91,-1.000,sl,30
2022-01-19 03:30,2022-01-19 03:30,sell,1812.26,1813.49,1811.04,1813.49,-1.000,sl,15
2022-01-19 04:00,2022-01-19 04:00,sell,1812.05,1813.38,1810.69,1813.38,-1.000,sl,15
2022-01-20 03:00,2022-01-20 03:00,buy,1841.41,1840.05,1842.83,1840.05,-1.000,sl,15
2022-01-20 03:30,2022-01-20 03:30,buy,1843.73,1842.11,1845.53,1842.11,-1.000,sl,15
2022-01-20 10:15,2022-01-20 10:15,buy,1841.70,1840.00,1843.62,1841.33,-0.218,lock_stop,15
2022-01-21 03:15,2022-01-21 03:30,sell,1836.49,1837.93,1834.96,1837.93,-1.000,sl,30
2022-01-21 09:15,2022-01-21 09:15,buy,1842.38,1841.07,1843.71,1841.07,-1.000,sl,15
2022-01-21 10:30,2022-01-21 10:45,sell,1833.16,1835.34,1830.52,1830.52,1.213,tp,30
2022-01-21 14:00,2022-01-21 14:00,sell,1831.78,1833.71,1829.50,1833.71,-1.000,sl,15
2022-01-21 17:30,2022-01-21 18:45,sell,1834.10,1837.44,1829.72,1835.03,-0.279,lock_stop,90
2022-01-24 03:30,2022-01-24 03:30,sell,1832.44,1834.15,1830.50,1834.15,-1.000,sl,15
2022-01-24 07:00,2022-01-24 09:00,buy,1838.21,1836.72,1839.81,1836.72,-1.000,sl,135
2022-01-24 10:15,2022-01-24 11:00,buy,1840.36,1838.56,1842.44,1842.44,1.153,tp,60
2022-01-24 15:30,2022-01-24 15:30,buy,1841.71,1839.26,1844.77,1839.26,-1.000,sl,15
2022-01-24 23:15,2022-01-24 23:45,buy,1843.31,1841.00,1846.14,1843.16,-0.065,eod,45
2022-01-25 06:00,2022-01-25 08:00,buy,1842.42,1841.01,1843.91,1841.01,-1.000,sl,135
2022-01-25 11:45,2022-01-25 12:00,sell,1837.00,1839.02,1834.60,1839.02,-1.000,sl,30
2022-01-25 17:00,2022-01-25 17:00,buy,1850.63,1847.44,1854.79,1847.44,-1.000,sl,15
2022-01-26 01:45,2022-01-26 02:00,buy,1850.05,1848.59,1851.61,1848.59,-1.000,sl,30
2022-01-26 13:30,2022-01-26 14:30,sell,1844.42,1846.16,1842.43,1846.16,-1.000,sl,75
2022-01-26 16:15,2022-01-26 16:15,sell,1840.18,1842.61,1837.16,1837.16,1.243,tp,15
2022-01-26 19:15,2022-01-26 21:00,sell,1830.32,1834.23,1825.08,1825.08,1.340,tp,120
2022-01-26 21:45,2022-01-26 21:45,sell,1822.26,1825.82,1817.54,1817.54,1.325,tp,15
2022-01-27 03:15,2022-01-27 03:45,sell,1817.79,1819.86,1815.32,1815.32,1.197,tp,45
2022-01-27 04:15,2022-01-27 04:15,sell,1814.82,1816.87,1812.36,1816.87,-1.000,sl,15
2022-01-27 07:30,2022-01-27 08:00,sell,1814.47,1816.39,1812.22,1812.22,1.174,tp,45
2022-01-27 08:45,2022-01-27 09:00,sell,1811.12,1812.78,1809.25,1812.78,-1.000,sl,30
2022-01-27 13:00,2022-01-27 13:30,sell,1811.47,1813.82,1808.57,1808.57,1.234,tp,45
2022-01-27 15:00,2022-01-27 15:30,sell,1806.95,1809.60,1803.61,1803.61,1.264,tp,45
2022-01-28 09:15,2022-01-28 10:00,sell,1796.51,1797.90,1795.05,1795.05,1.051,tp,60
2022-01-28 10:30,2022-01-28 11:00,sell,1793.15,1794.89,1791.16,1791.16,1.141,tp,45
2022-01-31 03:00,2022-01-31 03:00,sell,1786.95,1788.52,1785.21,1788.52,-1.000,sl,15
2022-01-31 05:45,2022-01-31 07:30,sell,1786.98,1788.45,1785.40,1788.45,-1.000,sl,120
2022-01-31 09:30,2022-01-31 09:30,sell,1786.07,1787.56,1784.46,1787.20,-0.757,lock_stop,15
2022-02-01 03:30,2022-02-01 03:30,buy,1798.87,1797.70,1800.00,1797.70,-1.000,sl,15
2022-02-01 06:45,2022-02-01 07:00,buy,1798.58,1797.28,1799.90,1799.90,1.018,tp,30
2022-02-01 07:30,2022-02-01 07:45,buy,1801.99,1800.67,1803.35,1803.35,1.028,tp,30
2022-02-01 11:00,2022-02-01 12:30,buy,1804.95,1803.05,1807.17,1807.17,1.170,tp,105
2022-02-02 04:30,2022-02-02 05:15,sell,1799.00,1800.08,1798.00,1798.00,0.922,tp,60
2022-02-02 09:45,2022-02-02 09:45,sell,1795.07,1796.60,1793.41,1796.60,-1.000,sl,15
2022-02-02 14:30,2022-02-02 15:00,buy,1804.76,1803.07,1806.67,1803.07,-1.000,sl,45
2022-02-03 04:00,2022-02-03 04:15,buy,1808.85,1807.79,1809.81,1807.79,-1.000,sl,30
2022-02-03 09:30,2022-02-03 10:30,sell,1803.77,1804.98,1802.58,1804.98,-1.000,sl,75
2022-02-03 12:30,2022-02-03 12:30,sell,1802.25,1803.90,1800.40,1803.90,-1.000,sl,15
2022-02-04 01:45,2022-02-04 01:45,buy,1806.57,1805.47,1807.60,1805.47,-1.000,sl,15
2022-02-04 03:15,2022-02-04 06:30,buy,1806.83,1805.80,1807.76,1807.76,0.896,tp,210
2022-02-04 09:15,2022-02-04 09:30,buy,1808.07,1806.93,1809.16,1806.93,-1.000,sl,30
2022-02-04 10:45,2022-02-04 10:45,buy,1810.10,1808.68,1811.60,1808.68,-1.000,sl,15
2022-02-07 01:15,2022-02-07 01:30,buy,1809.60,1808.15,1811.15,1811.15,1.069,tp,30
2022-02-07 02:15,2022-02-07 03:00,buy,1812.54,1811.06,1814.14,1811.06,-1.000,sl,60
2022-02-07 09:15,2022-02-07 09:45,buy,1811.65,1810.41,1812.89,1812.89,0.997,tp,45
2022-02-07 13:45,2022-02-07 15:00,buy,1813.12,1811.36,1815.13,1815.13,1.144,tp,90
2022-02-08 04:00,2022-02-08 06:45,buy,1822.40,1821.23,1823.52,1821.23,-1.000,sl,180
2022-02-08 16:00,2022-02-08 16:00,buy,1824.30,1822.35,1826.60,1822.35,-1.000,sl,15
2022-02-08 17:30,2022-02-08 17:30,buy,1827.35,1824.82,1830.52,1826.36,-0.391,lock_stop,15
2022-02-09 03:15,2022-02-09 03:15,buy,1826.61,1825.73,1827.30,1825.73,-1.000,sl,15
2022-02-09 04:15,2022-02-09 04:45,buy,1827.45,1826.47,1828.29,1826.47,-1.000,sl,45
2022-02-09 15:00,2022-02-09 15:00,buy,1828.38,1827.10,1829.68,1829.68,1.013,tp,15
2022-02-09 18:45,2022-02-09 22:30,buy,1833.17,1830.25,1836.92,1832.62,-0.188,time,240
2022-02-10 08:00,2022-02-10 08:15,buy,1834.74,1833.94,1835.32,1833.94,-1.000,sl,30
2022-02-10 09:45,2022-02-10 09:45,buy,1835.35,1834.30,1836.30,1834.30,-1.000,sl,15
2022-02-10 12:45,2022-02-10 12:45,buy,1833.46,1831.75,1835.40,1833.07,-0.228,lock_stop,15
2022-02-11 02:30,2022-02-11 04:30,sell,1824.79,1826.39,1823.02,1826.39,-1.000,sl,135
2022-02-11 06:15,2022-02-11 07:15,sell,1823.91,1825.36,1822.35,1825.36,-1.000,sl,75
2022-02-11 08:45,2022-02-11 08:45,sell,1822.23,1823.70,1820.66,1822.89,-0.451,lock_stop,15
2022-02-14 10:30,2022-02-14 10:30,buy,1858.49,1856.27,1861.20,1856.27,-1.000,sl,15
