month,trades,win_rate,pnl,return_pct,sum_r,max_dd_in_month_pct,end_equity
2015-01,14,50.0,1765.19,1.77,6.39,0.68,101765.19
2015-02,14,14.3,-1340.33,-1.32,-6.9,1.46,100424.85
2015-03,16,31.2,-634.72,-0.63,-2.91,2.31,99790.13
2015-04,12,33.3,-99.27,-0.1,0.51,1.04,99690.86
2015-05,10,30.0,-350.11,-0.35,-3.18,0.98,99340.75
2015-06,11,36.4,-144.45,-0.15,0.76,0.93,99196.3
2015-07,18,27.8,-1376.42,-1.39,-4.92,1.47,97819.88
2015-08,14,28.6,-678.17,-0.69,-0.98,1.43,97141.71
2015-09,17,23.5,-1369.21,-1.41,-6.26,1.6,95772.5
2015-10,11,45.5,795.65,0.83,4.48,1.24,96568.15
2015-11,14,28.6,-721.97,-0.75,-1.36,1.8,95846.18
2015-12,12,25.0,-978.49,-1.02,-4.75,1.68,94867.69
2016-01,10,30.0,-715.85,-0.75,-4.83,1.43,94151.84
2016-02,25,52.0,2355.39,2.5,10.91,0.97,96507.23
2016-03,26,30.8,-981.02,-1.02,-3.94,1.39,95526.21
2016-04,26,65.4,1553.52,1.63,5.05,1.19,97079.73
2016-05,9,22.2,-770.8,-0.79,-3.17,1.12,96308.94
2016-06,20,30.0,64.53,0.07,-2.15,0.94,96373.46
2016-07,13,23.1,-887.41,-0.92,-5.79,1.27,95486.05
2016-08,14,28.6,120.91,0.13,0.4,1.18,95606.96
2016-09,7,14.3,-1037.56,-1.09,-4.58,1.24,94569.4
2016-10,10,50.0,371.57,0.39,3.63,0.6,94940.97
2016-11,34,50.0,846.19,0.89,2.52,1.24,95787.16
2016-12,9,22.2,-518.54,-0.54,-3.32,1.47,95268.63
2017-01,13,30.8,-531.92,-0.56,-0.96,1.46,94736.71
2017-02,5,0.0,-1066.61,-1.13,-5.55,1.19,93670.1
2017-03,8,37.5,397.53,0.42,1.37,0.51,94067.64
2017-04,10,50.0,135.94,0.14,3.06,1.3,94203.58
2017-05,8,37.5,55.14,0.06,0.69,0.72,94258.71
2017-06,4,50.0,512.9,0.54,1.78,0.44,94771.62
2017-07,8,50.0,472.78,0.5,3.3,0.66,95244.4
2017-08,15,40.0,-375.91,-0.39,0.85,1.04,94868.49
2017-09,10,20.0,-275.31,-0.29,-5.71,0.84,94593.18
2017-10,8,37.5,-214.65,-0.23,-1.68,0.88,94378.53
2017-11,14,14.3,-1009.79,-1.07,-9.52,1.09,93368.74
2017-12,12,41.7,-273.17,-0.29,3.9,0.93,93095.58
2018-01,8,37.5,-312.07,-0.34,0.18,0.93,92783.51
2018-02,11,45.5,293.59,0.32,4.36,0.9,93077.09
2018-03,7,28.6,-598.21,-0.64,-2.67,1.06,92478.88
2018-04,7,28.6,-1137.11,-1.23,-1.91,1.23,91341.77
2018-05,6,16.7,-522.6,-0.57,-3.34,0.76,90819.17
2018-06,7,42.9,582.23,0.64,2.38,0.44,91401.41
2018-07,5,40.0,-65.81,-0.07,1.58,0.53,91335.59
2018-08,11,36.4,146.62,0.16,1.19,0.63,91482.21
2018-09,4,25.0,-158.56,-0.17,-0.95,0.58,91323.65
2018-10,11,45.5,463.37,0.51,5.16,0.66,91787.02
2018-11,9,22.2,-422.88,-0.46,-3.13,0.64,91364.14
2018-12,6,16.7,-562.78,-0.62,-3.2,0.78,90801.36
2019-01,8,37.5,-195.78,-0.22,-2.39,0.45,90605.57
2019-02,5,0.0,-957.63,-1.06,-6.45,1.09,89647.94
2019-03,7,28.6,-147.07,-0.16,-1.6,1.09,89500.87
2019-04,6,16.7,-30.79,-0.03,-2.42,0.62,89470.08
2019-05,5,20.0,-33.21,-0.04,-2.2,0.73,89436.87
2019-06,32,59.4,1079.86,1.21,8.32,0.85,90516.74
2019-07,18,44.4,436.19,0.48,4.17,1.19,90952.92
2019-08,20,30.0,-237.31,-0.26,-0.23,2.29,90715.61
2019-09,16,37.5,-288.65,-0.32,2.16,1.51,90426.96
2019-10,17,41.2,-795.37,-0.88,-1.75,1.69,89631.59
2019-11,7,28.6,43.32,0.05,-0.71,0.34,89674.91
2019-12,7,57.1,592.45,0.66,4.77,0.43,90267.36
2020-01,15,26.7,-38.7,-0.04,-1.23,0.86,90228.67
2020-02,15,53.3,1331.28,1.48,6.01,0.9,91559.95
2020-03,36,47.2,1928.8,2.11,7.06,1.56,93488.75
2020-04,16,37.5,647.76,0.69,2.87,1.39,94136.51
2020-05,12,16.7,-1393.71,-1.48,-5.53,1.93,92742.8
2020-06,11,18.2,-1047.25,-1.13,-5.23,1.45,91695.55
2020-07,16,56.2,2339.26,2.55,9.41,0.48,94034.81
2020-08,38,55.3,2813.23,2.99,12.27,0.91,96848.04
2020-09,12,50.0,576.19,0.59,4.09,0.8,97424.23
2020-10,10,10.0,-1360.44,-1.4,-6.58,1.54,96063.79
2020-11,30,36.7,644.71,0.67,-0.07,1.49,96708.49
2020-12,17,17.6,-1348.89,-1.39,-6.83,2.13,95359.6
2021-01,16,37.5,274.23,0.29,0.76,1.06,95633.84
2021-02,21,52.4,1870.55,1.96,8.63,0.82,97504.39
2021-03,19,36.8,-429.68,-0.44,1.02,1.38,97074.71
2021-04,10,40.0,119.76,0.12,1.08,0.71,97194.47
2021-05,10,30.0,113.73,0.12,1.28,0.61,97308.2
2021-06,19,42.1,933.54,0.96,4.61,1.15,98241.74
2021-07,10,10.0,-1342.93,-1.37,-7.63,1.48,96898.81
2021-08,16,25.0,-939.53,-0.97,-4.67,2.22,95959.28
2021-09,10,40.0,56.44,0.06,0.47,0.9,96015.72
2021-10,14,42.9,-99.52,-0.1,-1.77,0.72,95916.2
2021-11,16,37.5,580.89,0.61,2.68,0.84,96497.1
2021-12,3,0.0,98.92,0.1,-2.77,0.85,96596.02
