open,close,dir,entry,sl,tp,exit,r,why,hold_h
2015-03-17 03:00,2015-03-17 03:45,sell,1153.18,1154.94,1149.67,1154.94,-1.000,sl,0.75
2015-03-17 09:45,2015-03-17 14:30,sell,1154.99,1157.03,1150.91,1150.91,2.000,tp,4.75
2015-03-17 16:45,2015-03-18 18:45,sell,1151.33,1158.35,1137.28,1154.43,-0.441,time,24.00
2015-04-14 19:15,2015-04-15 20:00,sell,1193.50,1198.78,1182.95,1198.78,-1.000,sl,23.75
2015-04-21 04:00,2015-04-21 05:00,sell,1193.63,1195.04,1190.82,1195.04,-1.000,sl,1.00
2015-04-23 03:00,2015-04-23 04:15,sell,1187.59,1188.62,1185.52,1185.52,2.000,tp,1.25
2015-04-23 09:00,2015-04-23 11:00,sell,1188.03,1189.82,1184.45,1189.82,-1.000,sl,2.00
2015-04-23 15:15,2015-04-23 15:30,sell,1188.17,1190.90,1182.71,1190.90,-1.000,sl,0.25
2015-04-24 06:00,2015-04-24 09:15,sell,1191.71,1193.06,1189.01,1193.06,-1.000,sl,3.25
2015-04-24 12:30,2015-04-24 16:45,sell,1190.72,1193.57,1185.01,1185.01,2.000,tp,4.25
2015-04-27 01:15,2015-04-27 02:30,sell,1178.58,1179.74,1176.26,1179.74,-1.000,sl,1.25
2015-04-27 09:15,2015-04-27 10:15,sell,1181.16,1182.55,1178.37,1182.55,-1.000,sl,1.00
2015-05-01 04:45,2015-05-01 12:00,sell,1183.07,1184.54,1180.14,1180.14,2.000,tp,7.25
2015-05-01 12:30,2015-05-01 15:30,sell,1179.27,1182.02,1173.77,1173.77,2.000,tp,3.00
2015-05-01 19:00,2015-05-01 22:45,sell,1171.24,1176.40,1160.93,1176.40,-1.000,sl,3.75
2015-05-04 10:00,2015-05-04 15:45,sell,1182.64,1184.35,1179.23,1184.35,-1.000,sl,5.75
2015-05-07 07:00,2015-05-07 08:45,sell,1187.30,1188.98,1183.94,1188.98,-1.000,sl,1.75
2015-05-07 14:15,2015-05-07 14:30,sell,1182.90,1185.44,1177.82,1185.44,-1.000,sl,0.25
