open,close,dir,entry,sl,tp,exit,r,why,hold_h
2015-03-17 15:00,2015-03-17 15:45,sell,1145.40,1148.78,1135.25,1148.78,-1.000,sl,0.75
2015-03-17 21:45,2015-03-18 02:15,sell,1148.30,1150.27,1142.38,1150.27,-1.000,sl,2.50
2015-03-18 15:30,2015-03-18 17:15,sell,1148.06,1150.95,1139.39,1150.95,-1.000,sl,1.75
2015-07-08 15:45,2015-07-08 16:00,sell,1153.69,1156.97,1143.84,1156.97,-1.000,sl,0.25
2015-07-13 15:00,2015-07-13 17:30,sell,1155.06,1154.93,1147.36,1154.93,0.050,sl,2.50
2015-07-14 19:30,2015-07-15 16:15,sell,1155.11,1154.99,1148.22,1148.22,3.000,tp,19.75
2015-07-15 16:15,2015-07-15 19:15,sell,1147.32,1147.18,1139.12,1147.18,0.050,sl,3.00
2015-07-16 15:15,2015-07-16 15:30,sell,1142.39,1144.92,1134.81,1144.92,-1.000,sl,0.25
2015-07-16 21:30,2015-07-17 15:30,sell,1144.91,1144.83,1140.38,1140.38,3.000,tp,17.00
2015-07-17 15:30,2015-07-17 17:00,sell,1139.47,1139.36,1132.86,1132.86,3.000,tp,1.50
2015-07-17 21:30,2015-07-17 23:30,sell,1133.07,1135.06,1127.09,1135.06,-1.000,sl,2.00
2015-07-20 15:00,2015-07-20 16:15,sell,1112.29,1112.13,1102.45,1112.13,0.050,sl,1.25
2015-07-20 21:15,2015-07-20 23:00,sell,1106.03,1105.85,1095.45,1095.45,3.000,tp,1.75
2015-07-21 20:45,2015-07-22 01:00,sell,1102.76,1102.63,1094.95,1102.63,0.050,sl,3.25
2015-07-22 16:15,2015-07-22 17:45,sell,1089.00,1093.44,1075.67,1093.44,-1.000,sl,1.50
2015-07-23 17:00,2015-07-24 04:00,sell,1096.51,1096.32,1084.99,1084.99,3.000,tp,10.00
2015-07-24 16:15,2015-07-24 18:15,sell,1081.01,1085.16,1068.58,1085.16,-1.000,sl,2.00
2015-07-30 15:15,2015-07-30 15:30,sell,1084.91,1087.00,1078.66,1087.00,-1.000,sl,0.25
2015-07-30 21:15,2015-07-31 15:30,sell,1088.51,1088.35,1078.61,1088.35,0.050,sl,17.25
2015-08-03 22:45,2015-08-04 08:45,sell,1086.12,1086.00,1078.53,1086.00,0.050,sl,9.00
2015-08-04 23:30,2015-08-05 08:45,sell,1087.81,1087.67,1079.39,1087.67,0.050,sl,8.25
2015-08-05 18:30,2015-08-06 16:00,sell,1083.38,1087.60,1070.74,1087.60,-1.000,sl,20.50
2015-11-13 15:45,2015-11-16 01:00,sell,1080.89,1085.89,1065.91,1085.89,-1.000,sl,8.25
2015-11-17 15:30,2015-11-17 18:30,sell,1079.75,1079.60,1070.45,1070.45,3.000,tp,3.00
2015-11-17 22:00,2015-11-18 08:15,sell,1071.40,1071.21,1059.83,1071.21,0.050,sl,9.25
2015-11-18 15:00,2015-11-18 16:15,sell,1067.63,1070.01,1060.50,1070.01,-1.000,sl,1.25
2015-11-18 22:45,2015-11-19 02:15,sell,1069.72,1074.02,1056.82,1074.02,-1.000,sl,2.50
2015-11-19 15:00,2015-11-19 16:15,sell,1071.67,1073.94,1064.87,1073.94,-1.000,sl,1.25
2015-11-23 17:00,2015-11-24 10:45,sell,1070.07,1074.60,1056.48,1074.60,-1.000,sl,16.75
2015-11-25 18:15,2015-11-26 19:15,sell,1071.26,1074.83,1060.56,1071.21,0.015,time,24.00
2015-11-27 15:00,2015-11-27 16:30,sell,1056.70,1056.52,1045.89,1056.52,0.050,sl,1.50
2015-12-02 16:45,2015-12-02 21:00,sell,1056.05,1055.89,1046.28,1055.89,0.050,sl,4.25
2015-12-02 22:45,2015-12-03 04:45,sell,1052.34,1052.18,1042.41,1052.18,0.050,sl,5.00
2015-12-15 20:15,2015-12-16 05:00,sell,1061.99,1065.85,1050.42,1065.85,-1.000,sl,7.75
2015-12-31 16:15,2015-12-31 16:30,sell,1060.94,1063.01,1054.75,1063.01,-1.000,sl,0.25
2016-02-04 15:00,2016-02-04 17:30,buy,1148.95,1149.09,1157.24,1149.09,0.050,sl,2.50
2016-02-04 21:15,2016-02-05 15:30,buy,1156.03,1156.21,1166.50,1156.21,0.050,sl,17.25
2016-02-05 17:45,2016-02-08 12:15,buy,1153.68,1154.04,1174.95,1174.95,3.000,tp,17.50
2016-02-08 15:30,2016-02-08 20:45,buy,1182.15,1182.45,1200.01,1200.01,3.000,tp,5.25
2016-02-09 17:30,2016-02-09 22:00,buy,1195.43,1189.50,1213.24,1189.50,-1.000,sl,4.50
2016-02-10 17:45,2016-02-11 02:45,buy,1192.19,1192.56,1214.19,1214.19,3.000,tp,8.00
2016-02-11 15:00,2016-02-12 02:00,buy,1238.06,1238.54,1267.05,1238.54,0.050,sl,10.00
2016-02-12 15:00,2016-02-12 15:30,buy,1240.13,1235.31,1254.57,1235.31,-1.000,sl,0.50
2016-02-12 22:00,2016-02-15 01:00,buy,1238.50,1235.19,1248.42,1235.19,-1.000,sl,2.00
2016-02-18 19:00,2016-02-18 20:45,buy,1221.70,1221.94,1236.22,1236.22,3.000,tp,1.75
2016-02-19 15:45,2016-02-22 03:30,buy,1230.05,1223.43,1249.89,1223.43,-1.000,sl,10.75
2016-02-23 17:00,2016-02-24 09:00,buy,1223.50,1223.81,1242.33,1223.81,0.050,sl,15.00
2016-02-24 15:15,2016-02-24 19:45,buy,1238.79,1239.06,1255.25,1239.06,0.050,sl,4.50
2016-02-25 15:00,2016-02-25 16:00,buy,1237.38,1232.17,1253.00,1232.17,-1.000,sl,1.00
2016-02-25 21:45,2016-02-26 10:30,buy,1238.38,1231.99,1257.53,1231.99,-1.000,sl,11.75
2016-02-29 23:45,2016-03-01 10:15,buy,1238.38,1238.56,1249.23,1238.56,0.050,sl,9.50
2016-03-01 15:00,2016-03-01 15:30,buy,1246.97,1243.51,1257.36,1243.51,-1.000,sl,0.50
2016-03-03 16:00,2016-03-03 17:15,buy,1242.78,1242.96,1253.42,1253.42,3.000,tp,1.25
2016-03-03 22:00,2016-03-03 23:00,buy,1261.49,1261.67,1272.22,1261.67,0.050,sl,1.00
2016-03-04 16:30,2016-03-04 17:45,buy,1275.09,1266.12,1302.00,1266.12,-1.000,sl,1.25
2016-03-07 16:45,2016-03-07 19:30,buy,1268.80,1264.37,1282.09,1264.37,-1.000,sl,2.75
2016-03-11 15:45,2016-03-11 16:45,buy,1268.48,1263.19,1284.33,1263.19,-1.000,sl,1.00
2016-04-08 23:45,2016-04-11 04:15,buy,1240.57,1240.69,1247.96,1247.96,3.000,tp,3.50
2016-04-11 15:15,2016-04-12 16:15,buy,1252.25,1252.44,1263.56,1258.02,1.531,time,24.00
2016-04-20 21:00,2016-04-20 22:00,buy,1252.63,1249.05,1263.37,1249.05,-1.000,sl,1.00
2016-04-21 15:00,2016-04-21 16:15,buy,1266.97,1262.94,1279.04,1262.94,-1.000,sl,1.25
2016-04-28 17:00,2016-04-28 22:45,buy,1256.75,1256.95,1268.79,1268.79,3.000,tp,5.75
2016-04-29 15:30,2016-04-29 18:00,buy,1278.03,1278.27,1292.15,1292.15,3.000,tp,2.50
2016-05-02 15:00,2016-05-02 15:30,buy,1302.48,1298.38,1314.77,1298.38,-1.000,sl,0.50
2016-05-06 16:45,2016-05-09 08:30,buy,1289.37,1281.50,1312.99,1281.50,-1.000,sl,14.75
