year,month,return_pct,trades,win_rate_pct
2015,1,0.000,0,
2015,2,0.000,0,
2015,3,0.000,0,
2015,4,0.000,0,
2015,5,2.074,1,100.0
2015,6,-1.000,1,0.0
2015,7,0.000,0,
2015,8,-0.050,3,33.3
2015,9,0.000,0,
2015,10,0.512,2,50.0
2015,11,0.000,0,
2015,12,-1.000,1,0.0
2016,1,0.000,0,
2016,2,-1.000,1,0.0
2016,3,0.000,0,
2016,4,1.101,1,100.0
2016,5,-1.000,1,0.0
2016,6,2.163,1,100.0
2016,7,0.000,0,
2016,8,-1.000,1,0.0
2016,9,2.070,1,100.0
2016,10,0.000,0,
2016,11,0.000,0,
2016,12,0.000,0,
2017,1,0.997,2,50.0
2017,2,0.000,0,
2017,3,-1.000,1,0.0
2017,4,0.000,0,
2017,5,2.734,1,100.0
2017,6,0.613,2,50.0
2017,7,0.047,0,
2017,8,-1.559,2,0.0
2017,9,1.804,1,100.0
2017,10,0.000,0,
2017,11,0.000,0,
2017,12,0.000,0,
2018,1,2.013,1,100.0
2018,2,0.000,0,
2018,3,0.764,2,50.0
2018,4,0.000,0,
2018,5,-1.000,1,0.0
2018,6,0.000,0,
2018,7,-1.000,1,0.0
2018,8,0.000,0,
2018,9,-1.000,1,0.0
2018,10,0.000,0,
2018,11,-1.000,1,0.0
2018,12,1.849,1,100.0
2019,1,-1.845,2,0.0
2019,2,-1.146,1,0.0
2019,3,0.934,2,50.0
2019,4,0.000,0,
2019,5,0.000,0,
2019,6,0.000,0,
2019,7,0.000,0,
2019,8,0.000,0,
2019,9,-1.000,1,0.0
2019,10,0.000,0,
2019,11,0.000,0,
2019,12,0.000,0,
2020,1,2.299,1,100.0
2020,2,4.265,2,100.0
2020,3,0.000,0,
2020,4,-1.000,1,0.0
2020,5,-0.227,0,
2020,6,-0.775,1,0.0
2020,7,4.112,2,100.0
2020,8,0.000,0,
2020,9,0.000,0,
2020,10,-1.000,1,0.0
2020,11,0.000,0,
2020,12,0.478,2,50.0
2021,1,-1.990,2,0.0
2021,2,0.000,0,
2021,3,0.000,0,
2021,4,-1.000,1,0.0
2021,5,2.079,1,100.0
2021,6,0.000,0,
2021,7,0.000,0,
2021,8,0.000,0,
2021,9,0.000,0,
2021,10,0.080,0,
2021,11,0.243,1,100.0
2021,12,0.000,0,
2022,1,0.586,2,50.0
2022,2,2.084,1,100.0
2022,3,0.000,0,
2022,4,0.000,0,
2022,5,0.000,0,
2022,6,-1.000,1,0.0
2022,7,0.000,0,
2022,8,0.000,0,
2022,9,-1.990,2,0.0
2022,10,0.000,0,
2022,11,1.624,1,100.0
2022,12,0.000,0,
2023,1,0.600,2,50.0
2023,2,-1.000,1,0.0
2023,3,0.000,0,
2023,4,0.000,0,
2023,5,0.000,0,
2023,6,-1.000,1,0.0
2023,7,0.000,0,
2023,8,0.000,0,
2023,9,0.000,0,
2023,10,1.190,2,50.0
2023,11,2.251,1,100.0
2023,12,0.000,0,
2024,1,0.000,0,
2024,2,0.000,0,
2024,3,1.141,2,50.0
2024,4,0.000,0,
2024,5,1.788,1,100.0
2024,6,-1.000,1,0.0
2024,7,0.000,0,
2024,8,0.000,0,
2024,9,1.106,2,50.0
2024,10,0.000,0,
2024,11,0.000,0,
2024,12,0.000,0,
2025,1,0.967,2,50.0
2025,2,-1.000,1,0.0
2025,3,1.310,2,50.0
2025,4,-0.029,3,33.3
2025,5,0.000,0,
2025,6,0.000,0,
2025,7,0.000,0,
2025,8,2.177,1,100.0
2025,9,4.022,2,100.0
2025,10,0.000,0,
2025,11,0.035,0,
2025,12,2.608,3,66.7
2026,1,0.000,0,
