open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda,smc
2005-02-22 12:00,2005-02-28 05:30,buy,431.05,426.80,436.76,436.76,1.343,tp,82.5,3,0.00654,0.000,zone*
2005-03-11 20:00,2005-03-14 13:30,buy,445.05,441.60,452.02,441.60,-1.000,sl,13.2,3,0.00661,0.000,zone*
2005-04-26 16:00,2005-04-27 08:30,buy,437.05,433.80,442.90,433.80,-1.000,sl,15.2,3,0.00588,0.000,zone*
2005-05-31 08:45,2005-05-31 08:45,buy,419.85,417.00,424.98,417.00,-1.000,sl,0.2,3,0.00536,0.000,zone*
2005-06-16 12:00,2005-06-17 15:00,buy,431.35,428.30,437.81,437.81,2.120,tp,25.0,3,0.00622,0.000,zone*
2005-06-20 12:15,2005-06-20 16:15,buy,440.35,437.10,447.02,437.10,-1.000,sl,4.2,3,0.00636,0.000,zone*
2005-07-21 01:00,2005-07-29 16:30,buy,423.05,419.60,429.46,429.46,1.858,tp,130.0,3,0.00658,0.000,zone*
2005-08-03 16:00,2005-08-11 15:30,buy,434.55,431.60,440.03,440.03,1.859,tp,122.5,3,0.00547,0.000,zone*
2005-09-20 12:00,2005-09-20 16:15,buy,468.85,463.80,476.51,463.80,-1.000,sl,4.5,3,0.00768,0.000,zone*
2005-09-21 20:00,2005-09-22 16:15,buy,468.85,464.10,477.35,464.10,-1.000,sl,18.8,3,0.00799,0.000,zone*
2005-11-09 20:00,2005-11-16 15:45,buy,466.35,460.70,474.77,474.77,1.490,tp,102.2,3,0.00856,0.000,zone
2005-12-28 16:00,2006-01-03 21:00,buy,515.75,507.10,532.16,532.16,1.898,tp,59.8,3,0.01384,0.000,zone
2006-01-09 20:00,2006-01-10 16:45,buy,549.45,539.20,567.37,539.20,-1.000,sl,20.0,3,0.01463,0.000,zone*
2006-01-20 16:00,2006-01-20 17:45,buy,566.35,557.20,585.06,557.20,-1.000,sl,2.0,3,0.01401,0.000,zone*
2006-01-31 01:00,2006-02-07 15:30,buy,568.35,559.00,585.90,559.00,-1.000,sl,123.8,3,0.01348,0.000,zone*
2006-02-24 20:00,2006-03-07 17:00,buy,558.95,549.10,573.58,549.10,-1.000,sl,145.8,3,0.01249,0.000,zone*
2006-03-30 12:00,2006-04-03 01:00,buy,579.85,572.70,595.35,572.70,-1.000,sl,34.0,3,0.01108,0.000,zone
2006-04-17 12:00,2006-04-18 04:45,buy,604.45,596.00,617.91,617.91,1.593,tp,15.2,3,0.01030,0.000,zone*
2006-04-28 16:00,2006-05-02 19:00,buy,644.75,633.20,666.19,666.19,1.856,tp,44.5,3,0.01459,0.000,zone*
2006-05-02 20:00,2006-05-09 15:15,buy,664.95,654.50,688.54,688.54,2.258,tp,102.2,3,0.01457,0.000,zone*
2006-05-09 16:00,2006-05-11 14:30,buy,690.85,678.20,715.25,715.25,1.929,tp,43.5,3,0.01530,0.000,zone*
2006-11-02 01:30,2006-11-09 17:45,buy,616.95,606.10,634.12,634.12,1.583,tp,127.5,3,0.01295,0.000,zone*
2007-02-08 20:00,2007-02-21 18:30,buy,658.45,651.50,673.92,673.92,2.225,tp,199.2,3,0.00964,0.000,zone
2007-04-10 12:00,2007-04-16 06:45,buy,676.35,670.70,687.51,687.51,1.976,tp,84.5,3,0.00702,0.000,zone
2007-06-01 16:00,2007-06-07 18:30,buy,666.95,660.50,680.04,660.50,-1.000,sl,91.5,3,0.00829,0.000,zone
2007-07-02 16:00,2007-07-05 16:15,buy,654.55,649.10,666.34,649.10,-1.000,sl,63.8,3,0.00744,0.000,zone*
2007-08-03 16:00,2007-08-09 14:15,buy,669.95,664.50,681.59,664.50,-1.000,sl,83.8,3,0.00720,0.000,zone*
2007-08-31 16:00,2007-09-06 14:00,buy,672.55,665.00,686.61,686.61,1.862,tp,87.0,3,0.00910,0.000,zone*
2007-09-06 16:00,2007-09-07 14:30,buy,688.35,681.00,702.10,702.10,1.870,tp,21.2,3,0.00868,0.000,zone
2007-09-17 16:00,2007-09-20 10:15,buy,714.75,707.00,728.82,728.82,1.816,tp,63.2,3,0.00865,0.000,zone*
2007-10-04 20:00,2007-10-05 14:30,buy,736.95,727.00,755.34,727.00,-1.000,sl,17.5,3,0.01092,0.000,zone*
2007-11-26 12:00,2007-11-26 16:45,buy,835.65,823.30,862.33,823.30,-1.000,sl,5.0,3,0.01328,0.000,zone
2008-01-02 16:00,2008-01-08 09:00,buy,845.05,831.80,869.64,869.64,1.856,tp,83.5,3,0.01274,0.000,zone*
2008-01-17 16:00,2008-01-17 21:45,buy,888.25,875.50,917.21,875.50,-1.000,sl,6.0,3,0.01335,0.000,zone*
2008-05-16 16:00,2008-05-20 17:45,buy,896.75,881.20,921.39,921.39,1.584,tp,46.8,3,0.01277,0.000,zone*
2008-05-20 20:00,2008-05-27 16:00,buy,919.25,904.70,946.01,904.70,-1.000,sl,109.0,3,0.01279,0.000,zone*
2008-07-01 16:00,2008-07-07 06:45,buy,940.45,924.60,968.10,924.60,-1.000,sl,79.8,3,0.01318,0.000,zone*
2008-07-10 20:00,2008-07-14 16:00,buy,940.75,928.00,968.86,968.86,2.205,tp,40.8,3,0.01233,0.000,zone*
2008-07-22 01:00,2008-07-22 17:15,buy,966.55,954.50,993.71,954.50,-1.000,sl,16.5,3,0.01151,0.000,zone*
2008-09-18 20:00,2008-09-18 21:15,buy,893.95,863.50,947.39,863.50,-1.000,sl,1.5,3,0.02721,0.000,zone*
2008-10-06 16:00,2008-10-10 19:45,buy,872.85,835.30,934.47,835.30,-1.000,sl,95.5,3,0.03326,0.000,zone
2008-11-14 01:00,2008-11-21 16:30,buy,736.25,710.60,780.58,780.58,1.728,tp,129.0,3,0.02758,0.000,zone
2009-01-30 20:00,2009-02-02 07:15,buy,927.65,908.80,970.25,908.80,-1.000,sl,9.5,3,0.01894,0.000,zone*
