open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda
2005-02-22 12:00,2005-02-28 05:30,buy,431.05,426.80,436.76,436.76,1.343,tp,82.5,3,0.00654,0.000
2005-03-04 16:00,2005-03-08 19:30,buy,433.75,429.20,439.77,439.77,1.323,tp,44.8,3,0.00690,0.000
2005-03-11 20:00,2005-03-14 13:30,buy,445.05,441.60,452.02,441.60,-1.000,sl,13.2,3,0.00661,0.000
2005-04-11 16:00,2005-04-12 15:15,buy,429.45,426.10,435.97,426.10,-1.000,sl,22.5,3,0.00649,0.000
2005-04-26 16:00,2005-04-27 08:30,buy,437.05,433.80,442.90,433.80,-1.000,sl,15.2,3,0.00588,0.000
2005-05-31 08:45,2005-05-31 08:45,buy,419.85,417.00,424.98,417.00,-1.000,sl,0.2,3,0.00536,0.000
2005-06-10 20:00,2005-06-16 14:30,buy,426.85,423.20,432.20,432.20,1.465,tp,78.8,3,0.00595,0.000
2005-06-20 12:15,2005-06-20 16:15,buy,440.35,437.10,447.02,437.10,-1.000,sl,4.2,3,0.00636,0.000
2005-06-23 20:00,2005-06-28 09:00,buy,441.25,437.70,448.03,437.70,-1.000,sl,51.8,3,0.00661,0.000
2005-07-21 01:00,2005-07-29 16:30,buy,423.05,419.60,429.46,429.46,1.858,tp,130.0,3,0.00658,0.000
2005-08-03 16:00,2005-08-11 15:30,buy,434.55,431.60,440.03,440.03,1.859,tp,122.5,3,0.00547,0.000
2005-08-16 20:00,2005-08-17 14:15,buy,446.05,442.30,451.17,442.30,-1.000,sl,14.2,3,0.00562,0.000
2005-09-08 16:00,2005-09-16 08:00,buy,448.55,444.30,456.20,456.20,1.799,tp,115.2,3,0.00750,0.000
2005-09-19 01:15,2005-09-19 17:00,buy,459.55,455.30,467.25,467.25,1.812,tp,13.2,3,0.00735,0.000
2005-09-20 12:00,2005-09-20 16:15,buy,468.85,463.80,476.51,463.80,-1.000,sl,4.5,3,0.00768,0.000
2005-09-21 20:00,2005-09-22 16:15,buy,468.85,464.10,477.35,464.10,-1.000,sl,18.8,3,0.00799,0.000
2005-11-09 20:00,2005-11-16 15:45,buy,466.35,460.70,474.77,474.77,1.490,tp,102.2,3,0.00856,0.000
2005-11-17 16:00,2005-11-22 04:30,buy,484.85,478.70,493.54,493.54,1.413,tp,55.5,3,0.00868,0.000
2005-11-28 12:00,2005-12-01 01:00,buy,497.05,491.60,506.88,491.60,-1.000,sl,35.0,3,0.00871,0.000
2005-12-02 01:00,2005-12-07 16:15,buy,504.05,498.50,516.11,516.11,2.172,tp,79.8,3,0.00989,0.000
2005-12-09 01:00,2005-12-12 04:30,buy,520.45,514.70,532.18,532.18,2.040,tp,22.8,3,0.00951,0.000
2005-12-28 16:00,2006-01-03 21:00,buy,515.75,507.10,532.16,532.16,1.898,tp,59.8,3,0.01384,0.000
2006-01-06 16:00,2006-01-09 19:45,buy,533.95,524.70,549.86,549.86,1.720,tp,24.2,3,0.01343,0.000
2006-01-09 20:00,2006-01-10 16:45,buy,549.45,539.20,567.37,539.20,-1.000,sl,20.0,3,0.01463,0.000
2006-01-19 16:00,2006-01-31 01:30,buy,553.45,542.50,570.19,570.19,1.529,tp,153.8,3,0.01430,0.000
2006-02-24 20:00,2006-03-07 17:00,buy,558.95,549.10,573.58,549.10,-1.000,sl,145.8,3,0.01249,0.000
2006-03-28 01:30,2006-03-30 16:00,buy,566.95,559.60,580.39,580.39,1.829,tp,59.0,3,0.01041,0.000
2006-04-06 12:00,2006-04-07 15:15,buy,595.35,588.50,610.56,588.50,-1.000,sl,24.8,3,0.01050,0.000
2006-04-10 12:00,2006-04-17 18:00,buy,596.95,588.30,609.37,609.37,1.436,tp,82.2,3,0.01003,0.000
2006-04-19 01:00,2006-04-19 20:15,buy,621.45,613.50,637.16,637.16,1.976,tp,18.5,3,0.01080,0.000
2006-04-21 12:00,2006-04-27 16:15,buy,622.45,613.20,642.72,642.72,2.191,tp,89.8,3,0.01348,0.000
2006-04-28 16:00,2006-05-02 19:00,buy,644.75,633.20,666.19,666.19,1.856,tp,44.5,3,0.01459,0.000
2006-05-02 20:00,2006-05-09 15:15,buy,664.95,654.50,688.54,688.54,2.258,tp,102.2,3,0.01457,0.000
2006-05-09 16:00,2006-05-11 14:30,buy,690.85,678.20,715.25,715.25,1.929,tp,43.5,3,0.01530,0.000
2006-05-17 08:00,2006-05-17 17:30,buy,702.95,687.70,735.54,687.70,-1.000,sl,9.8,3,0.01949,0.000
2006-06-30 20:00,2006-07-12 12:15,buy,614.35,598.70,644.77,644.77,1.944,tp,136.2,3,0.02156,0.000
2006-07-14 01:00,2006-07-17 15:15,buy,664.05,650.20,689.63,650.20,-1.000,sl,36.2,3,0.01699,0.000
2006-07-27 16:00,2006-08-11 10:15,buy,638.95,623.00,663.74,640.70,0.110,time,240.0,3,0.01832,0.000
2006-09-28 04:00,2006-10-02 01:15,buy,602.25,591.20,623.08,591.20,-1.000,sl,41.2,3,0.01510,0.000
2006-10-13 20:00,2006-10-24 06:15,buy,589.45,579.00,610.34,579.00,-1.000,sl,141.0,3,0.01516,0.000
2006-11-02 01:30,2006-11-09 17:45,buy,616.95,606.10,634.12,634.12,1.583,tp,127.5,3,0.01295,0.000
2006-11-30 16:00,2006-12-06 09:45,buy,645.45,636.60,662.34,636.60,-1.000,sl,82.5,3,0.01133,0.000
2006-12-26 16:00,2007-01-03 15:30,buy,628.35,619.20,643.71,643.71,1.679,tp,97.8,3,0.01109,0.000
2007-01-23 16:00,2007-02-07 12:45,buy,643.95,632.70,662.17,654.60,0.947,time,240.0,3,0.01304,0.000
2007-02-08 20:00,2007-02-21 18:30,buy,658.45,651.50,673.92,673.92,2.225,tp,199.2,3,0.00964,0.000
2007-02-28 12:00,2007-02-28 15:45,buy,675.95,664.60,691.66,664.60,-1.000,sl,4.0,3,0.01140,0.000
2007-04-04 16:00,2007-04-13 14:15,buy,671.45,664.00,681.49,681.49,1.348,tp,144.0,3,0.00738,0.000
2007-04-13 16:00,2007-04-19 03:15,buy,681.75,675.50,690.72,690.72,1.435,tp,77.2,3,0.00631,0.000
2007-04-20 12:00,2007-04-24 18:00,buy,688.15,682.20,698.29,682.20,-1.000,sl,50.8,3,0.00660,0.000
2007-05-04 16:00,2007-05-08 16:30,buy,688.45,681.70,702.35,681.70,-1.000,sl,45.5,3,0.00849,0.000
2007-05-29 16:00,2007-05-30 12:45,buy,661.85,655.20,674.17,655.20,-1.000,sl,19.8,3,0.00811,0.000
2007-05-31 20:00,2007-06-04 16:45,buy,660.95,653.20,672.29,672.29,1.463,tp,41.8,3,0.00819,0.000
2007-07-02 16:00,2007-07-05 16:15,buy,654.55,649.10,666.34,649.10,-1.000,sl,63.8,3,0.00744,0.000
2007-07-09 01:00,2007-07-10 16:45,buy,655.55,649.30,664.54,664.54,1.439,tp,37.8,3,0.00658,0.000
2007-07-20 01:00,2007-07-24 14:30,buy,677.65,672.70,687.02,687.02,1.892,tp,58.2,3,0.00596,0.000
2007-08-03 16:00,2007-08-09 14:15,buy,669.95,664.50,681.59,664.50,-1.000,sl,83.8,3,0.00720,0.000
2007-08-24 20:00,2007-09-04 17:15,buy,667.75,659.50,681.48,681.48,1.664,tp,154.0,3,0.00934,0.000
2007-09-06 16:00,2007-09-07 14:30,buy,688.35,681.00,702.10,702.10,1.870,tp,21.2,3,0.00868,0.000
2007-09-11 20:00,2007-09-18 21:00,buy,712.45,702.80,726.20,726.20,1.425,tp,113.8,3,0.00933,0.000
2007-09-19 01:00,2007-09-28 14:15,buy,724.05,717.10,739.80,739.80,2.266,tp,170.2,3,0.00887,0.000
2007-10-04 20:00,2007-10-05 14:30,buy,736.95,727.00,755.34,727.00,-1.000,sl,17.5,3,0.01092,0.000
2007-10-11 20:00,2007-10-19 01:30,buy,751.25,740.70,769.10,769.10,1.692,tp,117.8,3,0.01074,0.000
2007-10-26 16:00,2007-10-31 19:45,buy,779.65,768.70,796.15,796.15,1.507,tp,71.5,3,0.01000,0.000
2007-11-07 04:00,2007-11-08 01:00,buy,833.65,823.90,852.71,823.90,-1.000,sl,20.2,3,0.00979,0.000
2007-11-14 16:00,2007-11-15 12:00,buy,813.55,801.10,834.95,801.10,-1.000,sl,18.8,3,0.01183,0.000
2007-11-26 12:00,2007-11-26 16:45,buy,835.65,823.30,862.33,823.30,-1.000,sl,5.0,3,0.01328,0.000
2007-12-10 16:00,2007-12-13 16:45,buy,810.05,794.40,848.55,794.40,-1.000,sl,69.0,3,0.01413,0.074
2007-12-21 16:00,2007-12-28 16:00,buy,810.45,795.70,833.94,833.94,1.592,tp,52.0,3,0.01346,0.000
2007-12-28 20:00,2008-01-02 18:00,buy,837.85,822.90,860.36,860.36,1.505,tp,28.0,3,0.01275,0.000
2008-01-08 12:00,2008-01-11 16:30,buy,872.45,857.20,895.72,895.72,1.526,tp,73.5,3,0.01259,0.000
2008-01-17 16:00,2008-01-17 21:45,buy,888.25,875.50,917.21,875.50,-1.000,sl,6.0,3,0.01335,0.000
2008-02-21 01:00,2008-02-26 09:15,buy,943.95,927.00,968.76,927.00,-1.000,sl,75.5,3,0.01262,0.000
2008-03-03 16:00,2008-03-04 17:00,buy,988.15,973.50,1010.97,973.50,-1.000,sl,24.0,3,0.01078,0.000
2008-03-13 16:00,2008-03-17 02:15,buy,996.35,982.00,1025.39,1025.39,2.024,tp,30.5,3,0.01238,0.000
2008-04-09 20:00,2008-04-14 02:15,buy,935.05,914.46,974.70,914.46,-1.000,sl,49.5,3,0.01845,0.000
2008-04-16 16:00,2008-04-18 13:45,buy,945.25,927.50,985.62,927.50,-1.000,sl,43.5,3,0.01755,0.000
2008-05-08 20:00,2008-05-13 15:15,buy,881.35,867.90,910.59,867.90,-1.000,sl,62.8,3,0.01378,0.000
2008-05-15 16:00,2008-05-19 09:30,buy,881.65,864.50,908.17,908.17,1.546,tp,38.2,3,0.01415,0.000
2008-05-20 20:00,2008-05-27 16:00,buy,919.25,904.70,946.01,904.70,-1.000,sl,109.0,3,0.01279,0.000
2008-06-06 16:00,2008-06-10 15:15,buy,891.25,877.90,917.92,877.90,-1.000,sl,44.2,3,0.01277,0.000
2008-06-27 20:00,2008-07-07 15:30,buy,929.35,916.50,959.13,916.50,-1.000,sl,129.0,3,0.01303,0.000
2008-07-10 20:00,2008-07-14 16:00,buy,940.75,928.00,968.86,968.86,2.205,tp,40.8,3,0.01233,0.000
2008-07-22 01:00,2008-07-22 17:15,buy,966.55,954.50,993.71,954.50,-1.000,sl,16.5,3,0.01151,0.000
2008-08-21 16:00,2008-08-26 10:15,buy,830.85,813.10,866.94,813.10,-1.000,sl,62.0,3,0.01855,0.000
2008-09-15 04:00,2008-09-15 13:30,buy,782.45,764.90,818.42,764.90,-1.000,sl,9.8,3,0.01960,0.000
2008-09-15 20:00,2008-09-17 16:30,buy,782.05,764.90,818.86,818.86,2.147,tp,42.2,3,0.01976,0.000
2008-09-18 20:00,2008-09-18 21:15,buy,893.95,863.50,947.39,863.50,-1.000,sl,1.5,3,0.02721,0.000
2008-10-06 16:00,2008-10-10 19:45,buy,872.85,835.30,934.47,835.30,-1.000,sl,95.5,3,0.03326,0.000
2008-11-04 20:00,2008-11-12 16:15,buy,758.55,722.60,811.68,722.60,-1.000,sl,131.8,3,0.03453,0.000
2008-11-14 01:00,2008-11-21 16:30,buy,736.25,710.60,780.58,780.58,1.728,tp,129.0,3,0.02758,0.000
2008-12-17 01:00,2008-12-19 12:00,buy,856.95,836.60,902.41,836.60,-1.000,sl,57.2,3,0.02203,0.000
2008-12-26 20:00,2009-01-05 14:30,buy,865.95,847.40,906.69,847.40,-1.000,sl,92.2,3,0.01960,0.000
2009-01-16 16:00,2009-01-23 11:00,buy,833.15,816.70,870.72,870.72,2.284,tp,108.2,3,0.01853,0.000
2009-01-23 16:00,2009-01-26 15:30,buy,878.15,856.50,911.31,911.31,1.532,tp,21.8,3,0.01792,0.000
2009-01-30 01:00,2009-02-12 16:15,buy,909.05,887.40,946.74,946.74,1.741,tp,219.2,3,0.01873,0.000
2009-02-17 08:00,2009-02-20 18:45,buy,960.05,941.10,1000.07,1000.07,2.112,tp,79.5,3,0.01755,0.000
2009-03-12 16:00,2009-03-18 13:15,buy,925.05,908.40,957.86,908.40,-1.000,sl,87.2,3,0.01525,0.000
2009-03-19 01:00,2009-03-30 12:45,buy,937.45,915.10,969.76,915.10,-1.000,sl,168.0,3,0.01673,0.000
2009-04-13 16:00,2009-04-16 15:45,buy,896.17,881.15,928.12,881.15,-1.000,sl,68.5,3,0.01493,0.000
2009-05-12 20:00,2009-05-21 18:00,buy,923.53,913.18,944.49,944.49,2.025,tp,133.8,3,0.00960,0.000
2009-05-28 16:00,2009-06-01 03:15,buy,958.48,948.40,981.80,981.80,2.314,tp,32.2,3,0.00986,0.000
2009-07-01 16:00,2009-07-06 08:45,buy,939.03,926.35,962.01,926.35,-1.000,sl,59.2,3,0.01078,0.000
2009-08-05 01:00,2009-08-06 20:00,buy,967.50,956.30,985.22,956.30,-1.000,sl,42.2,3,0.00847,0.000
2009-08-13 12:00,2009-08-14 17:30,buy,957.32,947.05,973.35,947.05,-1.000,sl,28.5,3,0.00778,0.000
2009-09-08 12:00,2009-09-08 17:45,buy,1004.65,994.50,1026.31,994.50,-1.000,sl,6.0,3,0.00896,0.000
2009-09-11 16:00,2009-09-14 10:30,buy,1008.82,994.58,1028.77,994.58,-1.000,sl,16.8,3,0.00963,0.000
2009-09-16 12:00,2009-09-18 21:45,buy,1019.29,1006.25,1041.33,1006.25,-1.000,sl,55.8,3,0.00977,0.000
2009-09-22 12:00,2009-09-24 16:15,buy,1017.40,1003.20,1037.52,1003.20,-1.000,sl,50.2,3,0.00958,0.000
2009-10-05 20:00,2009-10-06 16:15,buy,1017.40,1002.37,1038.45,1038.45,1.400,tp,19.5,3,0.01008,0.000
2009-10-08 20:00,2009-10-09 09:00,buy,1056.43,1044.37,1083.15,1044.37,-1.000,sl,12.0,3,0.01040,0.000
2009-11-02 16:00,2009-11-04 02:30,buy,1058.11,1044.96,1082.14,1082.14,1.827,tp,9.8,3,0.00997,0.000
2009-11-09 12:00,2009-11-16 16:00,buy,1109.04,1094.72,1133.81,1133.81,1.730,tp,117.8,3,0.01000,0.000
2009-11-23 04:00,2009-11-25 23:00,buy,1164.49,1150.20,1192.10,1192.10,1.932,tp,65.0,3,0.01020,0.000
